Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.65625,9.65625,9.0,9.0,6.068266868591309,134000
2000-01-04,8.875,9.28125,8.875,9.0,6.068266868591309,68200
2000-01-05,9.0,9.25,9.0,9.15625,6.173617362976074,70000
2000-01-06,9.09375,9.5,9.03125,9.46875,6.384322643280029,78600
2000-01-07,9.4375,9.46875,9.25,9.3125,6.278971195220947,71800
2000-01-10,9.34375,9.34375,9.1875,9.28125,6.257901668548584,67000
2000-01-11,9.3125,9.34375,9.25,9.25,6.2368292808532715,68200
2000-01-12,9.25,9.3125,9.21875,9.3125,6.278971195220947,93000
2000-01-13,9.3125,9.5,9.25,9.4375,6.363252639770508,94400
2000-01-14,9.5,9.5,9.25,9.25,6.2368292808532715,118000
2000-01-18,9.1875,9.1875,8.9375,9.0625,6.110406875610352,74000
2000-01-19,9.0625,9.21875,9.0,9.09375,6.131475925445557,106000
2000-01-20,9.125,9.3125,8.875,8.96875,6.0471954345703125,77400
2000-01-21,9.03125,9.1875,8.875,9.09375,6.131475925445557,111200
2000-01-24,9.28125,9.28125,8.9375,8.9375,6.026125907897949,120400
2000-01-25,8.96875,8.96875,8.5625,8.5625,5.773281574249268,67200
2000-01-26,8.59375,8.875,8.5625,8.875,5.983984470367432,91200
2000-01-27,8.9375,9.09375,8.9375,9.03125,6.0893402099609375,83000
2000-01-28,9.03125,9.15625,8.75,8.8125,5.941845417022705,90800
2000-01-31,8.84375,9.1875,8.84375,9.03125,6.0893402099609375,114600
2000-02-01,9.0,9.0,8.65625,8.78125,5.920775413513184,59000
2000-02-02,8.71875,8.9375,8.65625,8.8125,5.941845417022705,122200
2000-02-03,8.8125,8.875,8.6875,8.8125,5.941845417022705,61600
2000-02-04,8.78125,8.78125,8.5625,8.6875,5.857560634613037,101400
2000-02-07,8.5625,8.6875,8.5,8.6875,5.857560634613037,62200
2000-02-08,8.78125,8.84375,8.5,8.5625,5.773281574249268,70800
2000-02-09,8.625,8.8125,8.3125,8.4375,5.689000129699707,98800
2000-02-10,8.40625,8.5,8.21875,8.4375,5.689000129699707,522200
2000-02-11,8.4375,8.53125,7.96875,8.0,5.394013404846191,135000
2000-02-14,7.96875,8.25,7.90625,8.21875,5.541506290435791,56200
2000-02-15,8.3125,8.4375,8.15625,8.4375,5.689000129699707,76200
2000-02-16,8.4375,8.53125,8.125,8.125,5.478296279907227,86000
2000-02-17,8.21875,8.46875,8.1875,8.25,5.5625762939453125,82400
2000-02-18,8.28125,8.28125,7.9375,7.96875,5.372943878173828,60400
2000-02-22,7.96875,8.0,7.8125,7.96875,5.372943878173828,123800
2000-02-23,8.03125,8.09375,7.6875,7.875,5.309732913970947,95600
2000-02-24,7.875,7.9375,7.65625,7.6875,5.183310031890869,41400
2000-02-25,7.71875,7.75,7.625,7.65625,5.162240505218506,63600
2000-02-28,7.625,7.78125,7.5,7.65625,5.162240505218506,110800
2000-02-29,7.65625,8.09375,7.53125,7.53125,5.0779595375061035,194800
2000-03-01,7.5,7.53125,7.28125,7.28125,4.90939474105835,123200
2000-03-02,7.28125,7.5,7.28125,7.46875,5.035818576812744,156600
2000-03-03,7.4375,7.5625,7.4375,7.5,5.056887626647949,65000
2000-03-06,7.5,8.0,7.5,7.78125,5.246521949768066,179000
2000-03-07,7.84375,7.953125,7.5,7.5,5.056887626647949,222600
2000-03-08,7.875,7.96875,7.875,7.875,5.309732913970947,152400
2000-03-09,7.78125,7.90625,7.6875,7.71875,5.204380989074707,161200
2000-03-10,7.6875,8.078125,7.59375,8.0,5.394013404846191,167600
2000-03-13,7.8125,8.0,7.65625,7.84375,5.32527494430542,85600
2000-03-14,7.90625,7.9375,7.84375,7.90625,5.367707252502441,139200
2000-03-15,7.90625,8.65625,7.84375,8.625,5.8556809425354,141200
2000-03-16,8.65625,9.28125,8.65625,9.28125,6.3012213706970215,368600
2000-03-17,9.125,9.5,9.125,9.46875,6.4285197257995605,267800
2000-03-20,9.46875,9.8125,9.46875,9.8125,6.661895275115967,275800
2000-03-21,9.75,9.875,9.59375,9.875,6.704330921173096,353400
2000-03-22,9.875,10.0,9.40625,9.40625,6.386085510253906,338000
2000-03-23,9.3125,9.40625,9.0,9.34375,6.343652725219727,399200
2000-03-24,9.25,9.5,9.0,9.4375,6.40730094909668,61600
2000-03-27,9.375,9.5,9.09375,9.4375,6.40730094909668,67800
2000-03-28,9.375,9.40625,8.8125,9.15625,6.21635627746582,63800
2000-03-29,9.09375,9.09375,8.90625,8.96875,6.0890583992004395,134400
2000-03-30,9.03125,9.5625,9.03125,9.5625,6.492164611816406,83800
2000-03-31,9.65625,10.5625,9.5,10.375,7.043789386749268,418200
2000-04-03,10.1875,10.1875,10.0,10.0,6.789196968078613,172000
2000-04-04,10.0,10.1875,9.75,10.125,6.874058246612549,154400
2000-04-05,10.15625,10.15625,9.65625,9.78125,6.640679836273193,86200
2000-04-06,9.84375,10.0,9.8125,9.9375,6.746761322021484,99400
2000-04-07,9.9375,10.21875,9.9375,10.15625,6.895274639129639,40200
2000-04-10,10.09375,10.1875,9.90625,9.90625,6.725543022155762,71400
2000-04-11,9.90625,10.1875,9.84375,10.0,6.789196968078613,375200
2000-04-12,10.0625,10.125,9.96875,9.96875,6.767977714538574,295600
2000-04-13,9.96875,10.0,9.65625,9.96875,6.767977714538574,219400
2000-04-14,10.0,10.125,9.90625,9.9375,6.746761322021484,218800
2000-04-17,9.90625,9.90625,9.65625,9.75,6.619461536407471,81200
2000-04-18,9.75,9.75,9.375,9.46875,6.4285197257995605,173800
2000-04-19,9.53125,9.78125,9.53125,9.75,6.619461536407471,159000
2000-04-20,9.71875,10.0,9.6875,9.96875,6.767977714538574,502200
2000-04-24,9.875,10.3125,9.875,10.28125,6.980142116546631,157200
2000-04-25,10.46875,11.0,10.34375,10.5625,7.171085357666016,344200
2000-04-26,10.5625,10.625,10.0,10.15625,6.895274639129639,147200
2000-04-27,10.15625,10.8125,10.09375,10.5,7.128655433654785,178400
2000-04-28,10.4375,10.46875,10.125,10.46875,7.107436180114746,65600
2000-05-01,10.40625,10.75,10.40625,10.59375,7.192302703857422,260200
2000-05-02,10.625,10.75,10.5625,10.65625,7.23473596572876,71400
2000-05-03,10.71875,11.125,10.71875,11.09375,7.531759738922119,355200
2000-05-04,11.0625,11.25,10.6875,10.75,7.298383712768555,165200
2000-05-05,10.78125,11.25,10.625,10.84375,7.3620285987854,237600
2000-05-08,10.875,11.0,10.78125,11.0,7.468112945556641,86800
2000-05-09,10.9375,11.0,10.6875,11.0,7.468112945556641,196200
2000-05-10,10.9375,10.9375,10.75,10.78125,7.319601058959961,70400
2000-05-11,10.84375,11.0,10.8125,10.96875,7.446893692016602,182400
2000-05-12,10.90625,11.0,10.78125,10.9375,7.425683975219727,75800
2000-05-15,10.90625,10.96875,10.78125,10.96875,7.446893692016602,72600
2000-05-16,11.0,11.5625,10.90625,11.40625,7.743927001953125,170600
2000-05-17,11.4375,11.4375,11.125,11.15625,7.574194431304932,82800
2000-05-18,11.25,11.46875,11.1875,11.4375,7.765143394470215,152000
2000-05-19,11.3125,11.4375,11.0,11.375,7.722710132598877,100000
2000-05-22,11.4375,11.5625,11.40625,11.53125,7.828789234161377,78000
2000-05-23,11.59375,11.75,11.5,11.625,7.8924360275268555,231400
2000-05-24,11.59375,11.78125,11.40625,11.71875,7.956085681915283,114600
2000-05-25,11.75,11.84375,11.5625,11.6875,7.934869766235352,159800
2000-05-26,11.75,11.75,11.1875,11.21875,7.616623401641846,99800
2000-05-30,11.125,11.625,11.03125,11.46875,7.786360263824463,116400
2000-05-31,11.46875,11.5,11.0,11.0,7.468112945556641,153600
2000-06-01,11.03125,11.03125,10.5,10.78125,7.319601058959961,229600
