Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.984375,12.03125,11.5,11.828125,6.674914836883545,772000
2000-01-04,11.8125,11.8125,11.375,11.5,6.489745616912842,667600
2000-01-05,11.5,11.71875,11.34375,11.515625,6.498562335968018,857600
2000-01-06,11.125,12.0,10.40625,11.921875,6.7278218269348145,3072000
2000-01-07,11.921875,12.5,11.875,12.234375,6.90416955947876,2006000
2000-01-10,12.171875,12.46875,11.953125,12.40625,7.001165390014648,1014800
2000-01-11,12.3125,12.3125,11.59375,11.703125,6.604374408721924,769200
2000-01-12,11.703125,11.96875,11.625,11.75,6.630828857421875,677600
2000-01-13,11.8125,12.25,11.796875,11.953125,6.745454788208008,608400
2000-01-14,12.015625,12.0625,11.671875,11.671875,6.586740016937256,443200
2000-01-18,11.546875,11.640625,11.375,11.5625,6.525015354156494,511200
2000-01-19,11.5625,11.5625,11.265625,11.296875,6.375115394592285,1146800
2000-01-20,11.359375,11.359375,10.96875,11.046875,6.234034061431885,572400
2000-01-21,11.109375,11.25,10.578125,10.75,6.066498756408691,1079600
2000-01-24,10.796875,10.8125,10.28125,10.421875,5.881333351135254,1034400
2000-01-25,10.375,10.421875,10.046875,10.140625,5.7226128578186035,1258800
2000-01-26,10.203125,10.296875,10.0,10.171875,5.740251541137695,2245200
2000-01-27,10.109375,10.109375,9.75,9.953125,5.616804599761963,1246800
2000-01-28,10.125,10.15625,9.5,9.65625,5.449270248413086,1690000
2000-01-31,9.59375,9.734375,9.4375,9.5625,5.396365165710449,1202800
2000-02-01,9.375,9.5625,9.296875,9.3125,5.255282878875732,1048000
2000-02-02,9.3125,9.453125,9.140625,9.140625,5.158288955688477,979600
2000-02-03,9.265625,9.421875,9.140625,9.34375,5.2729172706604,2487600
2000-02-04,9.34375,9.453125,9.34375,9.390625,5.29937219619751,1194000
2000-02-07,9.40625,9.484375,9.09375,9.28125,5.237648963928223,1344800
2000-02-08,9.34375,9.5,9.15625,9.234375,5.2111968994140625,1170000
2000-02-09,9.25,9.34375,9.140625,9.140625,5.158288955688477,909600
2000-02-10,9.140625,9.234375,9.0625,9.15625,5.167107105255127,1580800
2000-02-11,9.25,9.25,8.71875,8.765625,4.946667194366455,1278800
2000-02-14,8.78125,8.96875,8.75,8.84375,4.9907546043396,1257200
2000-02-15,8.84375,9.078125,8.84375,8.984375,5.070113658905029,1914800
2000-02-16,9.25,9.265625,9.109375,9.265625,5.228831768035889,1792000
2000-02-17,9.0,9.09375,8.90625,9.015625,5.087749481201172,1058800
2000-02-18,9.15625,10.5,9.046875,10.1875,5.749066352844238,2434800
2000-02-22,10.125,10.171875,9.640625,10.171875,5.740251541137695,2058400
2000-02-23,10.15625,10.15625,9.5625,9.5625,5.396365165710449,720000
2000-02-24,9.546875,9.546875,8.6875,8.75,4.9378485679626465,2075600
2000-02-25,8.5625,8.6875,8.4375,8.65625,4.884943962097168,2153200
2000-02-28,8.515625,8.515625,8.28125,8.40625,4.785323143005371,1172800
2000-02-29,8.46875,8.46875,8.25,8.328125,4.740852355957031,1358000
2000-03-01,8.390625,8.625,8.34375,8.46875,4.820901393890381,996400
2000-03-02,8.25,8.3125,8.09375,8.234375,4.687484264373779,1185600
2000-03-03,8.296875,8.671875,8.203125,8.65625,4.927639007568359,1090400
2000-03-06,8.53125,8.59375,8.25,8.25,4.6963791847229,849600
2000-03-07,8.390625,8.40625,7.8125,7.828125,4.456222057342529,852400
2000-03-08,7.953125,8.0,7.53125,7.765625,4.42064094543457,1096400
2000-03-09,7.859375,8.0625,7.6875,8.0,4.554062843322754,651600
2000-03-10,7.75,8.0625,7.703125,8.0,4.554062843322754,1124000
2000-03-13,7.875,7.875,7.640625,7.859375,4.47401237487793,709200
2000-03-14,7.921875,8.109375,7.8125,7.875,4.482906341552734,1020800
2000-03-15,7.765625,8.5,7.75,8.375,4.767533302307129,1501200
2000-03-16,8.484375,9.3125,8.453125,9.296875,5.2923197746276855,1659200
2000-03-17,9.296875,9.296875,8.703125,8.890625,5.061059474945068,1426800
2000-03-20,9.125,9.265625,8.953125,8.984375,5.114427089691162,1358800
2000-03-21,9.109375,9.5,8.96875,9.3125,5.301214218139648,1124000
2000-03-22,9.3125,9.3125,9.046875,9.1875,5.2300567626953125,839200
2000-03-23,9.125,9.625,9.125,9.5625,5.44352912902832,1117600
2000-03-24,9.5625,9.765625,9.390625,9.53125,5.425737380981445,1267600
2000-03-27,9.625,9.75,9.34375,9.609375,5.470213890075684,1250000
2000-03-28,9.671875,9.6875,9.125,9.3125,5.301214218139648,1177200
2000-03-29,9.328125,9.65625,9.25,9.40625,5.3545823097229,1277600
2000-03-30,9.34375,9.34375,8.953125,9.078125,5.1677961349487305,1808400
2000-03-31,8.953125,9.5,8.9375,9.390625,5.345688343048096,1990000
2000-04-03,9.515625,9.515625,9.125,9.3125,5.301214218139648,776800
2000-04-04,9.484375,9.984375,9.390625,9.59375,5.46131706237793,1860400
2000-04-05,9.75,9.75,9.40625,9.453125,5.381267070770264,1022000
2000-04-06,9.453125,9.578125,9.1875,9.1875,5.2300567626953125,1339200
2000-04-07,9.25,9.28125,9.015625,9.109375,5.185583114624023,709200
2000-04-10,9.09375,9.28125,8.96875,9.03125,5.141110420227051,542000
2000-04-11,9.09375,9.1875,8.953125,9.046875,5.150006294250488,889600
2000-04-12,8.984375,9.375,8.875,8.90625,5.069952011108398,1400400
2000-04-13,9.296875,9.9375,9.171875,9.65625,5.496897220611572,2063600
2000-04-14,9.4375,9.5,9.125,9.15625,5.2122673988342285,2065600
2000-04-17,9.15625,9.703125,9.15625,9.171875,5.221163749694824,1160400
2000-04-18,9.1875,9.578125,9.0,9.359375,5.327898979187012,1152800
2000-04-19,9.296875,9.328125,8.921875,9.046875,5.150006294250488,717600
2000-04-20,8.90625,9.203125,8.90625,9.03125,5.141110420227051,644000
2000-04-24,9.03125,9.21875,8.96875,9.078125,5.1677961349487305,369600
2000-04-25,8.953125,9.25,8.875,9.1875,5.2300567626953125,688400
2000-04-26,9.25,9.390625,8.859375,9.046875,5.150006294250488,880800
2000-04-27,9.078125,9.171875,8.90625,8.9375,5.087743759155273,412000
2000-04-28,8.890625,8.9375,8.765625,8.890625,5.061059474945068,854400
2000-05-01,8.859375,9.0,8.4375,8.859375,5.043270111083984,1057200
2000-05-02,8.6875,8.796875,8.53125,8.671875,4.936532497406006,824800
2000-05-03,8.65625,8.65625,8.4375,8.484375,4.829798221588135,292400
2000-05-04,8.5,8.578125,8.359375,8.453125,4.812007904052734,480400
2000-05-05,8.46875,8.59375,8.390625,8.53125,4.856481552124023,544000
2000-05-08,8.46875,8.671875,8.375,8.5,4.838691711425781,618000
2000-05-09,8.59375,8.609375,8.265625,8.453125,4.812007904052734,640400
2000-05-10,8.328125,8.421875,8.203125,8.421875,4.794219970703125,484000
2000-05-11,8.53125,8.84375,8.4375,8.65625,4.927639007568359,853600
2000-05-12,8.5625,8.734375,8.5,8.6875,4.945427417755127,624800
2000-05-15,8.9375,8.9375,8.4375,8.546875,4.865375995635986,530400
2000-05-16,8.546875,8.859375,8.515625,8.609375,4.9009552001953125,873200
2000-05-17,8.484375,8.625,8.46875,8.546875,4.865375995635986,825600
2000-05-18,8.734375,8.875,8.53125,8.5625,4.874270915985107,507200
2000-05-19,8.5,8.609375,8.4375,8.515625,4.847588539123535,677200
2000-05-22,8.453125,8.5625,8.203125,8.421875,4.794219970703125,730000
2000-05-23,8.484375,8.484375,8.25,8.3125,4.7319560050964355,548400
2000-05-24,8.46875,8.703125,8.40625,8.476563453674316,4.825350761413574,546400
2000-05-25,8.5,8.578125,8.125,8.242188453674316,4.691929340362549,789200
2000-05-26,8.34375,8.421875,8.078125,8.15625,4.643008708953857,357200
2000-05-30,8.09375,8.3125,8.015625,8.257813453674316,4.744452953338623,469200
2000-05-31,8.328125,8.328125,8.109375,8.132813453674316,4.672632694244385,424400
2000-06-01,8.15625,8.375,8.078125,8.335938453674316,4.789337158203125,727600
2000-06-02,8.4375,8.5,8.203125,8.375,4.811779975891113,536800
2000-06-05,8.40625,8.546875,8.234375,8.3125,4.775871753692627,1001200
2000-06-06,8.375,8.40625,8.203125,8.234375,4.730987071990967,684000
2000-06-07,8.34375,8.34375,8.0625,8.09375,4.650190830230713,745200
2000-06-08,8.03125,8.078125,7.84375,7.90625,4.542464733123779,659200
2000-06-09,7.953125,8.09375,7.953125,8.0,4.596328258514404,341200
2000-06-12,8.0625,8.203125,7.90625,8.015625,4.605306148529053,652800
2000-06-13,8.015625,8.046875,7.828125,7.953125,4.56939697265625,465600
2000-06-14,7.96875,8.25,7.9375,8.09375,4.650190830230713,1056400
2000-06-15,8.109375,8.28125,8.078125,8.28125,4.7579169273376465,1219200
2000-06-16,8.3125,8.328125,8.078125,8.164063453674316,4.690589904785156,710800
2000-06-19,8.21875,8.25,7.859375,7.875,4.524511337280273,680000
2000-06-20,7.890625,7.890625,7.71875,7.78125,4.470645904541016,871600
2000-06-21,7.78125,7.859375,7.71875,7.734375,4.443716049194336,854800
2000-06-22,7.75,7.75,7.515625,7.59375,4.362920761108398,684800
2000-06-23,7.53125,7.65625,7.453125,7.484375,4.300080299377441,669600
2000-06-26,7.5625,7.609375,7.390625,7.515625,4.318035125732422,1256400
2000-06-27,7.421875,7.59375,7.421875,7.484375,4.300080299377441,2015600
2000-06-28,7.5,7.5,7.1875,7.351562976837158,4.223775863647461,1608400
2000-06-29,7.4375,7.46875,7.265625,7.296875,4.192355632781982,2083600
2000-06-30,7.375,7.375,6.808594226837158,6.808594226837158,3.9118170738220215,3156400
2000-07-03,6.921875,7.125,6.890625,7.078125,4.066671848297119,1246800
2000-07-05,6.9375,7.0625,6.90625,6.953125,3.994854211807251,1478000
2000-07-06,6.96875,7.234375,6.953125,7.140625,4.102583885192871,1872000
2000-07-07,7.078125,7.1875,6.828125,6.828125,3.923037052154541,1797200
2000-07-10,6.984375,7.125,6.890625,6.984375,4.012810230255127,1338800
2000-07-11,6.953125,7.5,6.765625,7.5,4.309056282043457,1537200
2000-07-12,6.921875,7.234375,6.875,7.125,4.09360408782959,2036400
2000-07-13,7.1875,7.5,7.0,7.390625,4.246215343475342,2312800
2000-07-14,7.59375,7.65625,7.4375,7.640625,4.389852046966553,1855200
2000-07-17,8.71875,9.0625,8.65625,9.007813453674316,5.175359725952148,7188800
2000-07-18,9.109375,9.34375,8.765625,9.0625,5.206780910491943,3505200
2000-07-19,8.859375,8.9375,8.546875,8.625,4.955419063568115,1752000
2000-07-20,8.734375,8.734375,8.25,8.28125,4.7579169273376465,4338800
2000-07-21,8.265625,8.5,8.15625,8.15625,4.686100006103516,1360000
2000-07-24,8.21875,8.375,8.1875,8.25,4.739964008331299,1619200
2000-07-25,8.28125,8.34375,8.046875,8.09375,4.650190830230713,1398000
2000-07-26,8.15625,8.15625,7.84375,7.875,4.524511337280273,2042000
2000-07-27,7.828125,8.046875,7.8125,7.984375,4.587351322174072,1160000
2000-07-28,8.0,8.09375,7.859375,7.882812976837158,4.528999328613281,973600
2000-07-31,8.03125,8.421875,7.96875,7.992187976837158,4.591839790344238,1790000
2000-08-01,8.0625,8.3125,8.046875,8.265625,4.748943328857422,883600
2000-08-02,8.359375,8.4375,8.125,8.171875,4.695078372955322,1106800
2000-08-03,8.203125,8.21875,8.015625,8.15625,4.686100006103516,1160000
2000-08-04,8.125,8.203125,8.109375,8.125,4.668144226074219,1219600
2000-08-07,8.125,8.5,8.125,8.265625,4.748943328857422,1288400
2000-08-08,8.328125,8.671875,8.328125,8.609375,4.946437835693359,1720000
2000-08-09,8.640625,8.6875,8.453125,8.484375,4.87462043762207,1695200
2000-08-10,8.484375,8.578125,8.390625,8.5,4.883599281311035,581600
2000-08-11,8.46875,8.734375,8.453125,8.703125,5.000303745269775,706400
2000-08-14,8.796875,8.90625,8.59375,8.71875,5.00927734375,1040800
2000-08-15,8.703125,8.71875,8.453125,8.46875,4.865643501281738,1157600
2000-08-16,8.40625,8.59375,8.375,8.515625,4.892577648162842,1174400
2000-08-17,8.515625,8.703125,8.453125,8.640625,4.96439266204834,708800
2000-08-18,8.75,8.75,8.609375,8.703125,5.000303745269775,696400
2000-08-21,8.765625,8.84375,8.703125,8.796875,5.054166316986084,1278000
2000-08-22,8.796875,9.25,8.703125,9.21875,5.2965521812438965,1526000
2000-08-23,9.171875,9.171875,8.78125,8.84375,5.08109712600708,893200
2000-08-24,8.84375,9.046875,8.8125,8.953125,5.143937110900879,815200
2000-08-25,8.96875,9.15625,8.8125,8.953125,5.143937110900879,681200
2000-08-28,8.96875,9.109375,8.875,8.890625,5.108028411865234,398400
2000-08-29,8.828125,9.109375,8.8125,8.984375,5.161892414093018,636000
2000-08-30,8.921875,8.921875,8.75,8.828125,5.114816188812256,984000
2000-08-31,8.828125,8.96875,8.609375,8.875,5.141976356506348,563600
2000-09-01,8.921875,8.96875,8.625,8.71875,5.051447868347168,775200
2000-09-05,8.71875,9.1875,8.375,9.0625,5.2506103515625,1208000
2000-09-06,9.09375,9.109375,8.875,8.96875,5.196291446685791,607200
2000-09-07,8.984375,9.0,8.765625,8.84375,5.123868942260742,650400
2000-09-08,8.78125,8.796875,8.5,8.671875,5.024289608001709,799200
