Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.125,48.1875,45.125,46.1875,33.972564697265625,886900
2000-01-04,45.25,45.3125,42.875,43.3125,31.85790252685547,1221700
2000-01-05,43.3125,43.375,41.75,42.3125,31.122343063354492,1361900
2000-01-06,42.3125,44.4375,42.0625,44.25,32.54745101928711,2482300
2000-01-07,44.25,46.1875,43.125,45.5,33.46689224243164,1206500
2000-01-10,45.5,46.0625,44.875,44.9375,33.05315399169922,855800
2000-01-11,44.75,45.5,43.25,43.5,31.99582290649414,1511400
2000-01-12,43.5,44.5,43.375,44.0625,32.4095344543457,1151400
2000-01-13,44.375,45.4375,43.9375,45.1875,33.23702621459961,417700
2000-01-14,46.1875,48.0,45.875,46.8125,34.43225860595703,1260600
2000-01-18,44.0,45.3125,42.0,42.5,31.26028060913086,2612600
2000-01-19,43.75,43.8125,42.75,43.375,31.90386962890625,1942600
2000-01-20,43.1875,43.5,42.0,42.375,31.16834831237793,1163600
2000-01-21,43.1875,43.25,40.8125,41.375,30.43280029296875,1324500
2000-01-24,41.3125,41.5,40.875,41.125,30.248918533325195,1058900
2000-01-25,41.0,41.0625,40.0,40.0625,29.4674015045166,986100
2000-01-26,40.125,42.625,40.125,41.9375,30.846527099609375,1009300
2000-01-27,42.0,43.125,40.6875,41.5,30.524738311767578,1583200
2000-01-28,41.25,41.25,39.8125,40.0625,29.4674015045166,539500
2000-01-31,39.25,41.1875,39.1875,41.0,30.156972885131836,500800
2000-02-01,41.5,41.5625,40.0,40.1875,29.559335708618164,628200
2000-02-02,40.75,40.8125,39.25,39.8125,29.28352928161621,534400
2000-02-03,40.5,40.8125,38.625,39.125,28.777851104736328,865700
2000-02-04,40.125,40.125,38.5,38.5625,28.364103317260742,611000
2000-02-07,38.4375,39.3125,37.375,37.9375,27.923952102661133,910600
2000-02-08,38.375,38.75,36.9375,37.375,27.50991439819336,1017700
2000-02-09,37.0,37.0625,34.8125,35.0,25.761789321899414,1668300
2000-02-10,35.0,35.4375,33.0,33.5,24.657711029052734,2143700
2000-02-11,33.5,34.0625,32.5,33.625,24.749719619750977,1962100
2000-02-14,33.375,34.25,33.0,34.1875,25.163747787475586,1369200
2000-02-15,34.4375,37.3125,34.0625,37.0625,27.27989959716797,1852600
2000-02-16,38.25,39.1875,37.0,37.5,27.601917266845703,2593200
2000-02-17,37.75,37.9375,36.625,36.75,27.049898147583008,1183700
2000-02-18,36.0,36.1875,33.25,34.5,25.393770217895508,1183400
2000-02-22,35.4375,36.0,32.8125,33.9375,24.979738235473633,1872400
2000-02-23,35.0,35.0,32.75,33.0625,24.335691452026367,1563500
2000-02-24,33.25,34.9375,32.0625,34.625,25.48577117919922,2271300
2000-02-25,34.6875,35.9375,34.3125,35.5625,26.17582130432129,1607900
2000-02-28,35.4375,38.1875,35.4375,37.875,27.877948760986328,2347300
2000-02-29,38.0,38.125,36.375,36.8125,27.09589385986328,1971000
2000-03-01,36.875,38.1875,36.75,37.6875,27.739946365356445,1075000
2000-03-02,37.75,38.1875,36.5,36.8125,27.09589385986328,1184200
2000-03-03,38.5,39.3125,37.4375,37.9375,27.923952102661133,979700
2000-03-06,38.125,39.0,36.75,37.0625,27.27989959716797,667000
