Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.5,25.5625,24.8125,25.0625,11.939846992492676,755000
2000-01-04,24.875,25.625,24.875,25.3125,12.058952331542969,715400
2000-01-05,25.9375,27.5,25.8125,26.9375,12.833100318908691,1330000
2000-01-06,26.6875,26.875,26.125,26.875,12.80333137512207,1210100
2000-01-07,27.0,28.0,27.0,28.0,13.339279174804688,2816800
2000-01-10,27.9375,28.0625,27.625,28.0,13.339279174804688,912200
2000-01-11,28.0,28.0625,27.75,27.875,13.279738426208496,960100
2000-01-12,27.8125,28.1875,27.8125,27.9375,13.309511184692383,618300
2000-01-13,27.8125,28.0,27.6875,27.75,13.220179557800293,848500
2000-01-14,27.5,27.625,27.25,27.5,13.101080894470215,712800
2000-01-18,27.25,27.5,26.75,27.0,12.862882614135742,1032700
2000-01-19,26.5625,27.375,26.5625,27.25,12.981983184814453,1014000
2000-01-20,26.875,26.9375,26.6875,26.8125,12.77355670928955,787500
2000-01-21,27.0,27.5,26.875,27.4375,13.071306228637695,1016200
2000-01-24,27.625,29.3125,27.5625,28.5,13.577483177185059,1592700
2000-01-25,28.5,29.0625,28.5,28.875,13.756128311157227,2807400
2000-01-26,28.9375,29.0625,28.8125,29.0,13.815685272216797,896900
2000-01-27,28.8125,29.5625,28.6875,29.0,13.815685272216797,1649600
2000-01-28,29.0,29.0,28.25,28.25,13.458378791809082,869500
2000-01-31,28.3125,29.125,28.0,29.125,13.875226974487305,965200
2000-02-01,29.375,29.375,28.125,28.625,13.63703441619873,1351400
2000-02-02,28.5625,28.6875,28.375,28.5625,13.607258796691895,943300
2000-02-03,28.5,30.0,28.5,29.5,14.053886413574219,1030100
2000-02-04,29.4375,29.5,28.125,28.375,13.517930030822754,838100
2000-02-07,28.125,28.375,27.875,28.375,13.517930030822754,855100
2000-02-08,28.1875,28.1875,27.625,27.875,13.279738426208496,1400500
2000-02-09,27.8125,28.125,27.5,28.0,13.339279174804688,1100700
2000-02-10,27.6875,28.375,27.5,27.5,13.101080894470215,756100
2000-02-11,27.5625,28.25,27.5625,27.75,13.220179557800293,487000
2000-02-14,27.75,28.25,27.6875,27.9375,13.309511184692383,624800
2000-02-15,28.0,28.125,27.875,28.0,13.339279174804688,524600
2000-02-16,28.0625,28.5,28.0,28.375,13.517930030822754,600200
2000-02-17,28.3125,28.4375,27.9375,28.0625,13.36905574798584,381000
2000-02-18,28.0625,28.125,27.125,27.25,12.981983184814453,929100
2000-02-22,27.25,27.4375,26.875,27.3125,13.01175594329834,570400
2000-02-23,27.4375,27.4375,26.625,26.6875,12.71400260925293,629800
