Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.625,16.8125,16.125,16.5,5.3071441650390625,419600
2000-01-04,16.5625,17.125,16.25,17.0625,5.488070487976074,623100
2000-01-05,17.0,17.9375,17.0,17.9375,5.769510269165039,310400
2000-01-06,17.9375,17.9375,17.625,17.8125,5.729305267333984,283700
2000-01-07,17.875,17.9375,17.3125,17.625,5.668997764587402,225100
2000-01-10,17.625,17.875,17.0,17.3125,5.568482398986816,373200
2000-01-11,17.5625,17.5625,17.0625,17.4375,5.608689308166504,202200
2000-01-12,17.25,17.3125,17.0625,17.3125,5.568482398986816,222800
2000-01-13,17.25,17.4375,16.875,17.125,5.5081706047058105,258700
2000-01-14,16.9375,16.9375,16.25,16.5625,5.327245712280273,253700
2000-01-18,16.5625,16.5625,16.0,16.0625,5.166424751281738,278000
2000-01-19,16.0625,16.9375,16.0,16.75,5.387555122375488,221800
2000-01-20,16.625,16.6875,16.3125,16.375,5.266941547393799,160700
2000-01-21,16.4375,16.6875,16.25,16.625,5.347350597381592,214100
2000-01-24,16.5,17.3125,16.5,16.5625,5.327245712280273,197900
2000-01-25,16.5625,16.6875,16.0,16.125,5.186527252197266,267200
2000-01-26,16.0,16.1875,15.3125,15.3125,4.925193786621094,657500
2000-01-27,15.375,16.0,15.375,15.875,5.106117248535156,262900
2000-01-28,16.0,16.125,15.5,15.875,5.106117248535156,195200
2000-01-31,16.0,16.0625,15.875,16.0,5.146323204040527,140400
2000-02-01,15.9375,16.0,15.5,15.5625,5.005603313446045,138500
2000-02-02,15.5,15.8125,15.5,15.75,5.065909385681152,109700
2000-02-03,16.0625,17.1875,16.0625,16.625,5.347350597381592,463200
2000-02-04,16.75,16.875,16.0,16.5,5.3071441650390625,190000
2000-02-07,16.5,16.875,16.5,16.625,5.347350597381592,239000
2000-02-08,16.5625,16.8125,16.5625,16.6875,5.3674540519714355,234000
2000-02-09,16.5625,16.625,16.1875,16.625,5.347350597381592,205800
2000-02-10,16.4375,16.4375,16.0,16.0,5.146323204040527,259300
2000-02-11,16.0625,16.25,15.9375,16.0,5.146323204040527,171000
2000-02-14,16.1875,16.1875,15.75,15.8125,5.086013317108154,247800
2000-02-15,15.625,15.9375,15.625,15.75,5.065909385681152,208600
2000-02-16,15.8125,15.875,15.6875,15.75,5.065909385681152,161700
2000-02-17,15.6875,15.9375,15.625,15.8125,5.086013317108154,180900
2000-02-18,15.75,15.8125,15.625,15.8125,5.086013317108154,130900
2000-02-22,15.9375,16.125,15.8125,16.0,5.146323204040527,215900
2000-02-23,15.9375,16.0,15.75,15.8125,5.086013317108154,120500
2000-02-24,15.875,15.9375,15.5,15.5625,5.005603313446045,165800
2000-02-25,15.625,15.6875,15.375,15.5,4.985501289367676,175500
2000-02-28,15.625,15.8125,15.5,15.8125,5.086013317108154,112300
2000-02-29,15.8125,16.0,15.375,15.4375,4.965396881103516,195900
2000-03-01,15.5625,15.6875,15.375,15.5,4.985501289367676,301100
2000-03-02,15.5625,16.375,15.5625,16.375,5.266941547393799,396700
2000-03-03,16.625,16.625,16.375,16.5,5.3071441650390625,158000
2000-03-06,16.75,16.75,15.3125,16.125,5.186527252197266,1251100
2000-03-07,16.125,16.75,15.75,16.75,5.572439193725586,798800
2000-03-08,16.75,17.25,16.5,16.875,5.614025592803955,7778100
2000-03-09,17.125,17.125,16.8125,17.0,5.6556077003479,1269300
2000-03-10,17.0,17.5625,16.9375,17.25,5.738784313201904,294100
2000-03-13,17.0,17.1875,16.9375,17.125,5.6971940994262695,205900
2000-03-14,16.9375,17.25,16.8125,16.875,5.614025592803955,130900
2000-03-15,16.8125,17.1875,16.8125,17.1875,5.717988967895508,217000
2000-03-16,17.125,17.5,17.0,17.375,5.780365943908691,603800
2000-03-17,17.25,17.3125,16.75,17.1875,5.717988967895508,276500
2000-03-20,17.125,17.3125,16.9375,17.0625,5.676403522491455,99900
2000-03-21,16.8125,17.0,16.75,16.875,5.614025592803955,89500
2000-03-22,16.6875,16.8125,16.3125,16.375,5.447686195373535,245300
2000-03-23,16.375,16.8125,16.3125,16.8125,5.593233585357666,170500
2000-03-24,16.75,16.875,16.375,16.75,5.572439193725586,120800
2000-03-27,17.0,17.0,16.375,16.8125,5.593233585357666,154200
2000-03-28,16.625,16.625,16.25,16.625,5.53085470199585,131100
2000-03-29,17.5,18.3125,16.625,16.75,5.572439193725586,591100
2000-03-30,16.875,16.9375,15.4375,15.75,5.239756107330322,652300
2000-03-31,15.75,15.9375,15.5625,15.8125,5.260550022125244,720500
2000-04-03,15.5,15.5625,14.8125,15.0,4.9902424812316895,622300
2000-04-04,15.75,15.75,14.6875,15.375,5.115000247955322,580100
2000-04-05,14.875,15.5625,14.8125,15.375,5.115000247955322,272000
2000-04-06,15.3125,15.3125,14.9375,15.0625,5.011036396026611,152800
2000-04-07,15.125,15.25,14.8125,14.9375,4.969450950622559,234300
2000-04-10,14.9375,15.25,14.875,15.0625,5.011036396026611,173900
2000-04-11,15.125,15.4375,15.125,15.375,5.115000247955322,202900
2000-04-12,15.4375,16.3125,15.4375,15.625,5.198171138763428,294900
2000-04-13,15.6875,15.9375,15.6875,15.6875,5.218966484069824,218800
2000-04-14,15.6875,15.6875,15.0,15.125,5.031830787658691,282700
2000-04-17,14.8125,15.9375,14.75,15.75,5.239756107330322,285200
2000-04-18,15.75,15.9375,15.375,15.9375,5.302135467529297,338000
2000-04-19,15.75,16.125,15.6875,15.9375,5.302135467529297,603200
2000-04-20,15.8125,15.9375,15.75,15.875,5.281342506408691,271700
2000-04-24,15.75,15.8125,15.375,15.5625,5.177379131317139,299300
2000-04-25,15.625,15.6875,15.4375,15.625,5.198171138763428,294800
2000-04-26,15.5625,16.0625,15.5625,16.0,5.322929382324219,318300
2000-04-27,15.8125,15.875,15.625,15.6875,5.218966484069824,147300
2000-04-28,15.75,15.75,15.4375,15.75,5.239756107330322,302200
2000-05-01,15.6875,15.9375,15.625,15.875,5.281342506408691,462700
2000-05-02,15.9375,15.9375,15.3125,15.625,5.198171138763428,296600
2000-05-03,15.625,15.625,15.4375,15.5,5.156588554382324,283100
