Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.8125,18.875,18.625,18.8125,6.73756217956543,110000
2000-01-04,18.75,18.8125,18.625,18.75,6.715177536010742,176500
2000-01-05,18.75,18.875,18.625,18.6875,6.692793846130371,135400
2000-01-06,18.75,19.25,18.625,19.25,6.894248008728027,186800
2000-01-07,19.25,20.375,19.1875,20.25,7.252392768859863,190200
2000-01-10,20.3125,20.5,20.0625,20.375,7.297157287597656,64400
2000-01-11,20.25,20.25,19.5,19.625,7.0285515785217285,56900
2000-01-12,19.75,20.25,19.75,20.0,7.162856578826904,96100
2000-01-13,19.875,20.0625,19.625,19.9375,7.140472412109375,164200
2000-01-14,20.0,20.0625,19.75,19.75,7.073319911956787,53400
2000-01-18,20.0,20.0625,19.8125,20.0,7.162856578826904,64000
2000-01-19,19.875,20.125,19.75,20.125,7.207623481750488,154100
2000-01-20,20.1875,20.25,20.125,20.1875,7.230008125305176,51900
2000-01-21,20.1875,20.1875,20.0625,20.1875,7.230008125305176,29200
2000-01-24,20.125,20.1875,20.0,20.0,7.162856578826904,52600
2000-01-25,20.0,20.125,19.875,20.0,7.162856578826904,66700
2000-01-26,20.0625,20.0625,20.0,20.0,7.162856578826904,34200
2000-01-27,20.0625,20.125,20.0,20.0625,7.185236930847168,61000
2000-01-28,20.0,20.0625,20.0,20.0625,7.185236930847168,33400
2000-01-31,19.9375,20.0625,19.9375,19.9375,7.140472412109375,57100
2000-02-01,20.0625,20.0625,19.875,20.0625,7.185236930847168,49100
2000-02-02,20.0625,20.0625,19.625,19.6875,7.050937175750732,171500
2000-02-03,19.75,19.8125,19.6875,19.75,7.073319911956787,34500
2000-02-04,19.625,19.6875,19.4375,19.4375,6.961399078369141,73000
2000-02-07,19.375,19.5,19.1875,19.1875,6.871862411499023,99200
2000-02-08,19.1875,19.25,19.0,19.125,6.849477767944336,73500
2000-02-09,19.1875,19.25,18.875,19.125,6.849477767944336,70600
2000-02-10,19.0,19.375,18.9375,19.3125,6.91663122177124,33400
2000-02-11,19.1875,19.25,18.75,18.75,6.715177536010742,77400
2000-02-14,18.75,18.75,17.75,18.0,6.446568965911865,143600
2000-02-15,18.0,18.25,17.875,18.0,6.446568965911865,249000
2000-02-16,18.0,18.125,17.875,17.875,6.401801586151123,97100
2000-02-17,17.9375,18.0625,17.9375,18.0625,6.468952178955078,70100
2000-02-18,18.0625,18.375,18.0625,18.1875,6.513722896575928,113000
2000-02-22,18.125,18.5,18.0625,18.5,6.625641822814941,83500
2000-02-23,18.375,18.6875,18.125,18.625,6.670409679412842,85000
2000-02-24,18.5,18.5,18.0625,18.25,6.536102294921875,49900
2000-02-25,18.25,18.5,18.25,18.375,6.580870151519775,37200
2000-02-28,18.375,18.75,18.375,18.625,6.670409679412842,57300
2000-02-29,18.75,19.25,18.625,19.25,6.894248008728027,114200
2000-03-01,19.1875,19.25,18.9375,19.125,6.849477767944336,109400
2000-03-02,19.0625,19.0625,19.0,19.0,6.804712772369385,39600
2000-03-03,19.25,19.25,18.9375,19.0625,6.827094078063965,135200
2000-03-06,19.0,19.1875,18.8125,19.1875,6.871862411499023,184300
