Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.3125,8.375,7.375,7.5625,6.771275043487549,1287300
2000-01-04,7.375,7.875,7.375,7.625,6.827236652374268,1238300
2000-01-05,7.5,7.875,7.5,7.8125,6.995117664337158,1096300
2000-01-06,7.75,8.25,7.5,8.125,7.27492094039917,1026700
2000-01-07,8.1875,9.125,8.0625,8.75,7.834532260894775,2419300
2000-01-10,8.875,8.9375,8.375,8.375,7.498766899108887,1276200
2000-01-11,8.375,8.75,8.25,8.25,7.386843681335449,693700
2000-01-12,8.375,8.6875,8.25,8.4375,7.554725646972656,764000
2000-01-13,8.5625,9.5,8.5625,9.25,8.282217979431152,1760600
2000-01-14,9.375,9.625,8.25,8.25,7.386843681335449,1429000
2000-01-18,9.0,9.0,8.375,8.625,7.7226104736328125,776600
2000-01-19,8.6875,8.6875,8.0,8.0,7.16300106048584,1220100
2000-01-20,8.0,8.0625,7.6875,7.75,6.9391584396362305,1744500
2000-01-21,7.75,8.0625,7.6875,7.8125,6.995117664337158,1670100
2000-01-24,7.9375,8.125,7.625,7.9375,7.107039928436279,1001400
2000-01-25,7.5,7.8125,7.5,7.75,6.9391584396362305,994500
2000-01-26,7.75,8.0625,7.75,7.875,7.051081657409668,821500
2000-01-27,8.0,8.0625,7.625,7.625,6.827236652374268,421200
2000-01-28,7.375,8.0625,7.125,7.625,6.827236652374268,1775700
2000-01-31,7.625,8.1875,7.625,8.0,7.16300106048584,858700
2000-02-01,8.0,8.375,8.0,8.25,7.386843681335449,783600
2000-02-02,8.3125,8.625,8.25,8.3125,7.442805767059326,597300
2000-02-03,8.3125,8.625,8.3125,8.4375,7.554725646972656,773500
2000-02-04,8.5625,8.75,8.375,8.375,7.498766899108887,481200
2000-02-07,8.5,8.625,8.3125,8.4375,7.554725646972656,574300
2000-02-08,8.4375,8.5625,8.0625,8.1875,7.3308820724487305,713800
2000-02-09,7.8125,8.125,7.4375,7.5625,6.771275043487549,1495000
2000-02-10,7.4375,7.5,7.0,7.1875,6.4355082511901855,1307800
2000-02-11,7.125,7.125,6.6875,6.875,6.155704975128174,983900
2000-02-14,6.9375,7.5,6.8125,7.4375,6.659351825714111,902200
2000-02-15,7.5625,7.6875,7.375,7.5625,6.771275043487549,753600
2000-02-16,7.5625,7.6875,7.1875,7.375,6.603389739990234,535300
2000-02-17,7.4375,7.4375,7.0625,7.125,6.379550457000732,417200
