Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.625,37.9375,35.0,35.5625,20.158119201660156,312300
2000-01-04,35.0,35.5,34.5625,35.125,19.910125732421875,318300
2000-01-05,34.875,35.75,34.5625,35.4375,20.087257385253906,255400
2000-01-06,35.125,37.125,35.0,36.25,20.54781723022461,212700
2000-01-07,36.5,37.625,36.375,37.3125,21.150075912475586,153000
2000-01-10,36.75,36.875,35.75,36.375,20.618677139282227,185400
2000-01-11,36.25,36.8125,35.8125,36.4375,20.65410614013672,140500
2000-01-12,36.6875,37.25,36.0,36.3125,20.583250045776367,183400
2000-01-13,36.25,37.5625,36.25,36.9375,20.93751335144043,209400
2000-01-14,36.375,37.25,36.0625,36.9375,20.93751335144043,406000
2000-01-18,36.0,36.75,35.75,36.4375,20.65410614013672,185100
2000-01-19,36.3125,37.0625,36.21875,36.6875,20.795814514160156,248300
2000-01-20,36.6875,37.0625,36.5625,36.8125,20.866668701171875,236200
2000-01-21,37.5,37.5,36.5625,36.625,20.760377883911133,246300
2000-01-24,36.375,36.5625,35.8125,35.8125,20.299835205078125,283600
2000-01-25,35.5625,36.1875,34.875,35.625,20.193546295166016,404600
2000-01-26,35.625,36.25,34.75,36.1875,20.512380599975586,245600
2000-01-27,35.75,36.375,35.375,36.0625,20.441524505615234,154900
2000-01-28,36.0625,36.1875,34.6875,35.875,20.33526039123535,425100
2000-01-31,35.875,36.125,35.5,35.6875,20.228988647460938,206000
2000-02-01,35.4375,35.625,35.0,35.4375,20.087257385253906,169500
2000-02-02,35.375,35.625,35.0,35.3125,20.01641273498535,269300
2000-02-03,35.0,36.3125,35.0,36.1875,20.512380599975586,320200
2000-02-04,36.1875,36.1875,35.4375,35.5,20.122697830200195,224700
2000-02-07,35.25,35.5,34.875,35.0,19.839265823364258,317700
2000-02-08,34.0,34.5625,33.5,34.5625,19.591285705566406,326900
2000-02-09,33.875,33.875,32.25,33.3125,18.88273811340332,510600
2000-02-10,33.3125,33.75,32.75,33.5,18.989017486572266,274700
2000-02-11,33.0,33.75,31.5625,32.5625,18.457612991333008,374900
2000-02-14,32.0,32.4375,31.3125,32.4375,18.386760711669922,274300
2000-02-15,32.25,33.875,32.125,33.5,18.989017486572266,276800
2000-02-16,33.5,33.5,32.1875,33.125,18.77645492553711,204100
2000-02-17,33.375,33.5,31.75,32.375,18.351335525512695,257600
2000-02-18,32.0,32.0,31.5,31.75,17.99705696105957,196700
2000-02-22,31.3125,32.4375,31.125,31.6875,17.961631774902344,375700
2000-02-23,31.75,31.75,30.25,30.3125,17.18222427368164,381100
2000-02-24,30.375,30.375,29.3125,30.25,17.146804809570312,780100
2000-02-25,29.9375,30.25,29.25,29.75,16.863384246826172,224200
2000-02-28,29.75,30.1875,29.6875,29.8125,16.898805618286133,476900
2000-02-29,29.5625,30.625,29.1875,30.0,17.005088806152344,471200
2000-03-01,30.25,30.25,29.5625,29.9375,16.96966552734375,296700
2000-03-02,30.1875,30.1875,29.0,29.3125,16.61539077758789,5187800
2000-03-03,29.25,32.0,28.8125,30.0,17.005088806152344,1271000
2000-03-06,30.375,30.375,28.75,29.875,16.934234619140625,469300
2000-03-07,29.875,30.4375,28.8125,29.125,16.50911521911621,646000
2000-03-08,29.125,30.6875,29.125,29.875,16.934234619140625,438400
2000-03-09,30.0625,31.625,30.0625,30.75,17.43021583557129,502100
2000-03-10,30.375,31.625,29.375,31.25,17.713645935058594,473100
2000-03-13,31.0,31.375,30.5,31.0,17.571928024291992,396700
2000-03-14,31.0,31.25,30.5625,31.125,17.642784118652344,223400
2000-03-15,31.9375,34.1875,31.0,33.8125,19.166152954101562,426500
2000-03-16,33.5,35.5,32.875,35.375,20.051837921142578,517700
2000-03-17,35.4375,35.4375,34.5,35.0,19.839265823364258,368500
2000-03-20,35.0,35.0,34.1875,34.4375,19.520421981811523,395800
2000-03-21,34.6875,35.125,34.0,34.8125,19.733003616333008,256800
2000-03-22,34.125,34.25,33.1875,33.4375,19.162776947021484,283400
2000-03-23,33.25,34.75,33.1875,34.25,19.628402709960938,158200
