Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.75,13.75,13.3125,13.40625,4.753983020782471,229400
2000-01-04,13.28125,13.46875,13.21875,13.40625,4.753983020782471,239600
2000-01-05,13.375,14.1875,13.375,14.0625,4.986693859100342,284200
2000-01-06,14.0,14.25,13.84375,14.0625,4.986693859100342,142800
2000-01-07,14.0625,14.3125,14.0,14.25,5.053184986114502,130400
2000-01-10,14.21875,14.34375,14.125,14.28125,5.064266681671143,205800
2000-01-11,14.21875,14.34375,14.1875,14.25,5.053184986114502,193400
2000-01-12,14.125,14.4375,14.09375,14.40625,5.108590602874756,150200
2000-01-13,14.40625,14.625,14.40625,14.53125,5.152919292449951,177000
2000-01-14,14.625,14.625,14.21875,14.34375,5.086429119110107,226400
2000-01-18,14.25,14.375,14.03125,14.25,5.053184986114502,219800
2000-01-19,14.21875,14.46875,14.125,14.375,5.097511291503906,247800
2000-01-20,14.3125,14.9375,14.125,14.9375,5.296976566314697,405200
2000-01-21,15.03125,17.375,15.0,16.71875,5.928628921508789,1513200
2000-01-24,16.71875,18.875,16.71875,17.3125,6.139176368713379,1821200
2000-01-25,17.3125,17.625,15.3125,15.625,5.540771961212158,584400
2000-01-26,15.625,15.625,15.09375,15.28125,5.418874740600586,1566800
2000-01-27,15.09375,15.09375,14.84375,14.9375,5.385076999664307,882600
2000-01-28,14.9375,14.9375,14.6875,14.84375,5.351284027099609,319000
2000-01-31,14.75,14.90625,14.6875,14.90625,5.373811721801758,315600
2000-02-01,14.90625,14.90625,14.75,14.90625,5.373811721801758,631000
2000-02-02,14.90625,14.90625,14.4375,14.4375,5.2048234939575195,356200
2000-02-03,14.5625,14.75,14.5625,14.75,5.317483425140381,638200
2000-02-04,14.75,14.75,14.375,14.53125,5.238621234893799,237400
2000-02-07,14.5,14.5625,14.375,14.53125,5.238621234893799,159600
2000-02-08,14.59375,14.625,14.46875,14.5625,5.249887943267822,723000
2000-02-09,14.53125,14.6875,14.53125,14.65625,5.283683776855469,213000
2000-02-10,14.59375,15.0,14.59375,14.875,5.362545967102051,492600
2000-02-11,14.84375,15.25,14.75,15.09375,5.441410064697266,303000
2000-02-14,15.15625,15.4375,15.03125,15.21875,5.486469745635986,222800
2000-02-15,15.28125,15.71875,15.1875,15.6875,5.65545654296875,343600
2000-02-16,15.6875,15.6875,15.46875,15.5625,5.610393047332764,172600
2000-02-17,15.5,15.625,15.375,15.46875,5.57659912109375,670800
2000-02-18,15.40625,15.46875,15.03125,15.125,5.452672958374023,173200
2000-02-22,15.09375,15.1875,14.78125,15.0,5.407608985900879,279200
2000-02-23,14.96875,15.0,14.5,14.75,5.317483425140381,462400
2000-02-24,14.75,14.75,14.4375,14.53125,5.238621234893799,250200
2000-02-25,14.53125,14.59375,14.1875,14.21875,5.125965118408203,194800
2000-02-28,14.21875,14.3125,14.03125,14.1875,5.114697456359863,247400
2000-02-29,14.1875,14.21875,14.0,14.0625,5.0696330070495605,254400
2000-03-01,14.125,14.21875,13.6875,13.9375,5.024570465087891,190600
2000-03-02,13.9375,14.09375,13.75,13.75,4.956973552703857,374800
2000-03-03,13.8125,13.8125,13.65625,13.71875,4.945710182189941,347000
2000-03-06,13.75,13.75,13.5,13.65625,4.92317533493042,239800
2000-03-07,13.625,13.8125,13.53125,13.8125,4.979507923126221,532600
2000-03-08,13.8125,14.40625,13.75,14.28125,5.148494720458984,423400
2000-03-09,14.15625,14.3125,14.15625,14.28125,5.148494720458984,658800
2000-03-10,14.21875,14.3125,13.90625,14.15625,5.103430271148682,187400
2000-03-13,14.125,14.125,13.8125,13.90625,5.013304233551025,129800
2000-03-14,13.90625,14.0,13.625,13.78125,4.9682416915893555,141800
2000-03-15,13.8125,14.0,13.65625,13.96875,5.035837173461914,251800
2000-03-16,13.96875,15.46875,13.96875,15.4375,5.565330505371094,476200
2000-03-17,14.9375,14.96875,14.59375,14.65625,5.283683776855469,234600
2000-03-20,14.71875,15.03125,14.6875,14.78125,5.32874870300293,146600
2000-03-21,14.8125,14.96875,14.5,14.5625,5.249887943267822,204200
2000-03-22,14.5625,14.625,14.125,14.1875,5.114697456359863,147000
2000-03-23,14.1875,14.59375,14.1875,14.5625,5.249887943267822,169400
2000-03-24,14.53125,14.5625,14.40625,14.46875,5.216090202331543,127600
2000-03-27,14.46875,14.46875,14.15625,14.15625,5.103430271148682,208800
2000-03-28,14.21875,14.21875,13.875,13.875,5.002039432525635,118600
2000-03-29,13.96875,14.625,13.96875,14.40625,5.1935577392578125,324600
2000-03-30,14.53125,14.90625,14.53125,14.65625,5.283683776855469,213000
2000-03-31,14.71875,15.21875,14.625,15.21875,5.486469745635986,390800
2000-04-03,15.125,15.125,14.65625,14.84375,5.351284027099609,201600
2000-04-04,14.78125,15.03125,14.1875,14.6875,5.294949054718018,191000
2000-04-05,14.625,15.1875,14.625,15.03125,5.418875217437744,180600
2000-04-06,15.03125,15.0625,14.65625,14.75,5.317483425140381,112600
2000-04-07,14.71875,14.8125,14.4375,14.625,5.272418975830078,173200
2000-04-10,14.59375,14.84375,14.5625,14.75,5.317483425140381,128600
2000-04-11,14.75,15.03125,14.6875,14.875,5.362545967102051,234400
2000-04-12,14.8125,15.25,14.8125,14.96875,5.396346569061279,135800
2000-04-13,14.84375,15.125,14.75,15.09375,5.441410064697266,157200
2000-04-14,15.0625,15.0625,14.5625,14.59375,5.261152744293213,205600
2000-04-17,14.5,14.9375,14.25,14.9375,5.385076999664307,213200
2000-04-18,14.9375,15.1875,14.6875,15.15625,5.463940620422363,234400
2000-04-19,15.15625,15.15625,14.625,15.0,5.407608985900879,159400
2000-04-20,14.9375,15.125,14.84375,15.03125,5.418875217437744,104000
2000-04-24,15.125,15.25,15.0,15.15625,5.463940620422363,93000
2000-04-25,15.0625,15.4375,15.03125,15.34375,5.531531810760498,365400
2000-04-26,15.125,15.9375,15.09375,15.84375,5.80639123916626,963800
2000-04-27,15.75,15.84375,15.375,15.4375,5.657509803771973,137800
2000-04-28,15.5,15.5,14.8125,15.0,5.497175693511963,152200
2000-05-01,15.03125,15.125,14.8125,14.8125,5.42846155166626,103800
2000-05-02,14.8125,14.8125,14.28125,14.3125,5.245223045349121,229000
2000-05-03,14.375,14.4375,14.125,14.3125,5.245223045349121,151600
2000-05-04,14.4375,15.09375,14.4375,14.96875,5.485727310180664,349200
2000-05-05,14.875,14.9375,14.28125,14.4375,5.291031360626221,235000
2000-05-08,14.34375,15.0625,14.34375,14.78125,5.4170098304748535,278000
2000-05-09,14.65625,14.9375,14.28125,14.46875,5.30248498916626,336600
2000-05-10,14.5,14.6875,14.375,14.625,5.359747409820557,320600
2000-05-11,14.5625,14.96875,14.5625,14.90625,5.4628190994262695,194400
2000-05-12,14.96875,14.96875,14.4375,14.625,5.359747409820557,162200
2000-05-15,14.75,15.21875,14.5,15.125,5.5429863929748535,355200
2000-05-16,15.125,15.125,14.78125,14.90625,5.4628190994262695,180000
