Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,41.125,41.3125,40.25,40.5,29.633670806884766,147600
2000-01-04,40.25,40.5,39.25,39.9375,29.222110748291016,145100
2000-01-05,39.9375,42.5,39.9375,42.0,30.73121452331543,429900
2000-01-06,42.0625,45.375,41.625,45.125,33.01778030395508,481300
2000-01-07,44.875,48.375,44.4375,47.0,34.389705657958984,464500
2000-01-10,47.5,48.0625,46.1875,46.3125,33.88664627075195,238800
2000-01-11,46.5625,47.375,45.25,45.875,33.56654357910156,188100
2000-01-12,45.875,47.75,45.875,47.4375,34.70981216430664,337100
2000-01-13,47.75,49.625,47.75,49.375,36.12747573852539,363300
2000-01-14,49.4375,50.0,46.5,47.1875,34.526885986328125,172100
2000-01-18,47.0625,47.9375,45.75,46.6875,34.16105270385742,194200
2000-01-19,46.9375,47.1875,45.8125,46.375,33.932403564453125,117800
2000-01-20,46.375,46.375,44.0625,44.25,32.3775520324707,174600
2000-01-21,44.625,44.9375,43.625,43.875,32.103172302246094,74500
2000-01-24,44.25,44.9375,43.25,44.875,32.83485794067383,125700
2000-01-25,43.75,44.3125,42.625,42.9375,31.41717529296875,128600
2000-01-26,43.1875,44.5625,42.375,43.25,31.64584732055664,265600
2000-01-27,43.3125,44.0625,42.3125,43.75,32.011680603027344,189100
2000-01-28,43.8125,44.6875,42.75,44.0,32.194618225097656,261000
2000-01-31,43.875,43.875,41.6875,42.0,30.73121452331543,153800
2000-02-01,42.125,42.625,41.8125,42.125,30.822673797607422,190500
2000-02-02,42.3125,43.5,42.3125,43.375,31.737285614013672,191600
2000-02-03,43.375,44.5,43.125,44.375,32.468997955322266,191100
2000-02-04,44.1875,44.75,43.0,43.8125,32.05741500854492,168800
2000-02-07,43.5625,43.75,43.0,43.375,31.737285614013672,70900
2000-02-08,43.5625,43.75,42.0,42.0,30.73121452331543,134900
2000-02-09,42.5,42.5,40.875,41.0,29.999528884887695,120000
2000-02-10,41.0,41.0,39.5,40.0,29.267854690551758,159300
2000-02-11,40.125,40.375,39.375,39.625,28.99344253540039,97000
2000-02-14,39.375,39.5625,38.3125,39.0,28.536148071289062,141400
2000-02-15,39.125,40.25,38.6875,39.5,28.9019832611084,175400
2000-02-16,39.75,40.625,39.3125,39.5,28.9019832611084,121200
2000-02-17,39.375,40.0,39.125,39.8125,29.130638122558594,138700
2000-02-18,39.5625,39.75,38.375,38.625,28.261741638183594,102800
2000-02-22,38.6875,38.6875,38.0,38.5625,28.216026306152344,184300
2000-02-23,38.4375,38.4375,37.5,38.0,27.804443359375,222000
2000-02-24,37.9375,37.9375,35.875,36.5625,26.752634048461914,590900
2000-02-25,36.5625,37.75,36.1875,36.6875,26.844085693359375,157200
2000-02-28,36.25,36.875,35.8125,36.75,26.985443115234375,122800
2000-02-29,36.625,37.75,35.5,35.5,26.067567825317383,273200
2000-03-01,35.5625,37.0,35.5625,36.625,26.893646240234375,160200
2000-03-02,37.5,38.4375,36.6875,36.8125,27.031347274780273,257200
2000-03-03,37.0,37.6875,36.875,37.4375,27.490266799926758,363200
2000-03-06,37.4375,37.5,37.0625,37.0625,27.214906692504883,84100
2000-03-07,37.125,37.3125,36.5,37.125,27.260801315307617,107400
2000-03-08,37.125,39.125,37.125,38.5625,28.31637191772461,156400
2000-03-09,38.5625,39.0625,38.125,38.6875,28.408132553100586,128000
2000-03-10,38.5625,40.25,38.5625,39.75,29.18834114074707,70900
2000-03-13,39.5,40.125,38.9375,39.3125,28.867080688476562,87800
2000-03-14,38.875,39.1875,37.0,37.6875,27.673856735229492,153400
2000-03-15,37.6875,43.5,37.6875,42.6875,31.345340728759766,246200
2000-03-16,42.9375,49.125,42.9375,47.5625,34.92503356933594,463800
2000-03-17,47.0,47.375,44.9375,45.6875,33.54823303222656,200700
2000-03-20,45.8125,48.5,45.8125,47.0,34.51200866699219,216700
2000-03-21,47.25,47.625,46.0,46.0,33.777706146240234,179500
2000-03-22,46.375,46.5,45.0,45.25,33.22697448730469,193200
2000-03-23,45.75,47.4375,45.625,46.625,34.236629486083984,298900
2000-03-24,46.5625,47.125,44.8125,45.5625,33.45643615722656,206400
2000-03-27,45.3125,46.625,44.9375,45.5,33.4105339050293,137800
2000-03-28,45.625,46.4375,44.875,45.375,33.318756103515625,135300
2000-03-29,44.875,45.5,43.875,45.0625,33.089298248291016,235300
2000-03-30,45.1875,46.8125,44.625,45.0,33.04338455200195,202200
2000-03-31,45.375,47.5,45.375,47.5,34.87913513183594,240300
2000-04-03,47.5,48.0,46.4375,46.75,34.32840347290039,203600
2000-04-04,47.0,47.125,44.25,45.0,33.04338455200195,157800
2000-04-05,44.375,46.75,44.375,46.0625,33.82358169555664,145300
2000-04-06,45.875,46.0625,44.375,45.6875,33.54823303222656,199400
2000-04-07,45.4375,45.75,45.0625,45.375,33.318756103515625,136300
2000-04-10,45.375,47.4375,45.25,46.0,33.777706146240234,216900
2000-04-11,46.0,48.25,45.5625,47.9375,35.200408935546875,148400
2000-04-12,47.875,49.625,47.875,48.4375,35.56753921508789,328300
2000-04-13,48.5,48.875,48.375,48.4375,35.56753921508789,102300
2000-04-14,48.25,48.4375,46.4375,47.0,34.51200866699219,149200
2000-04-17,47.0625,48.125,46.3125,47.4375,34.83324432373047,203300
2000-04-18,47.4375,50.75,46.625,50.0625,36.760765075683594,307000
2000-04-19,50.0625,54.1875,50.0,54.0,39.652061462402344,272700
2000-04-20,53.6875,55.0,51.625,53.0,38.91779327392578,262700
2000-04-24,53.3125,53.3125,52.0625,52.625,38.64241027832031,230500
2000-04-25,52.6875,55.25,52.0625,54.25,39.83565139770508,256300
2000-04-26,54.5,54.75,52.5,52.6875,38.68832778930664,161200
2000-04-27,52.9375,52.9375,51.6875,52.125,38.2752685546875,104400
2000-04-28,52.375,53.375,52.375,53.0,38.91779327392578,132100
2000-05-01,53.0,54.875,53.0,54.0625,39.697959899902344,164600
2000-05-02,52.875,53.5,51.125,52.5625,38.596519470214844,214600
2000-05-03,52.3125,52.3125,50.875,51.625,37.90812683105469,97000
2000-05-04,51.75,52.75,51.375,52.375,38.4588508605957,106800
2000-05-05,52.625,52.9375,51.6875,52.5,38.55063247680664,175500
2000-05-08,52.75,53.4375,52.375,53.0625,38.96366882324219,116900
2000-05-09,53.0625,53.8125,53.0625,53.8125,39.514404296875,91800
2000-05-10,53.5625,54.0,52.9375,53.25,39.101356506347656,239800
2000-05-11,53.5,54.3125,53.375,53.75,39.46852111816406,137200
2000-05-12,53.75,54.9375,53.1875,53.4375,39.23902130126953,125800
2000-05-15,53.3125,54.4375,52.9375,53.4375,39.23902130126953,150200
2000-05-16,53.6875,54.4375,53.625,53.8125,39.514404296875,121100
2000-05-17,53.8125,53.8125,52.0625,53.6875,39.422603607177734,154200
2000-05-18,53.375,53.5,51.25,52.0625,38.229366302490234,123500
2000-05-19,52.1875,52.1875,50.125,50.8125,37.31150436401367,122400
2000-05-22,51.25,53.0625,51.25,52.25,38.367042541503906,112200
2000-05-23,52.0,52.0,50.9375,51.5,37.816349029541016,126000
2000-05-24,51.375,51.4375,50.25,51.375,37.72454071044922,120200
2000-05-25,52.75,52.875,50.625,51.125,37.54096984863281,138100
2000-05-26,51.25,51.25,48.375,49.125,36.072383880615234,116800
2000-05-30,49.1875,50.6875,48.5,48.5,35.70793533325195,156900
2000-05-31,49.0,49.4375,48.875,48.9375,36.03003692626953,180700
2000-06-01,49.125,49.1875,48.125,49.1875,36.2140998840332,148400
2000-06-02,49.1875,50.75,49.1875,49.875,36.72026824951172,312400
2000-06-05,49.9375,50.5,48.375,49.4375,36.39817810058594,168200
2000-06-06,49.3125,50.0625,48.6875,49.6875,36.58222579956055,177600
2000-06-07,49.5625,49.875,49.0625,49.4375,36.39817810058594,119800
2000-06-08,49.1875,49.75,48.9375,49.1875,36.2140998840332,186400
2000-06-09,49.4375,49.75,49.375,49.625,36.53619384765625,151500
2000-06-12,49.5,49.5625,46.25,46.75,34.419490814208984,139700
2000-06-13,47.0,48.0625,47.0,47.25,34.787620544433594,203000
2000-06-14,47.25,47.25,45.6875,45.8125,33.72927474975586,171500
2000-06-15,45.875,45.875,43.5625,43.9375,32.34879684448242,337900
2000-06-16,43.625,44.0625,42.375,42.875,31.566547393798828,402700
2000-06-19,42.625,42.625,41.375,41.75,30.738264083862305,307800
2000-06-20,41.75,43.75,41.4375,43.1875,31.796634674072266,320900
2000-06-21,43.125,43.9375,43.125,43.375,31.934680938720703,458300
2000-06-22,43.25,43.75,43.0,43.25,31.842639923095703,290400
2000-06-23,43.25,43.5625,41.5625,41.9375,30.876323699951172,128500
2000-06-26,43.25,43.25,40.75,41.0625,30.232093811035156,197200
2000-06-27,41.3125,43.0,40.9375,41.5,30.55420684814453,212200
2000-06-28,41.5,41.875,40.4375,41.1875,30.324142456054688,121500
2000-06-29,41.4375,42.0625,40.8125,40.875,30.09404945373535,206500
2000-06-30,40.875,41.875,40.3125,40.453125,29.783458709716797,211600
2000-07-03,40.5,41.75,40.375,41.625,30.646251678466797,46000
2000-07-05,40.75,42.3125,40.3125,42.3125,31.152416229248047,135900
2000-07-06,42.1875,42.4375,41.625,42.4375,31.244426727294922,174500
2000-07-07,42.3125,42.625,41.9375,41.9375,30.876323699951172,154100
2000-07-10,42.0,42.375,41.8125,42.0625,30.968355178833008,119300
2000-07-11,42.3125,43.9375,42.125,43.875,32.302791595458984,186100
2000-07-12,43.75,44.375,43.0625,43.625,32.118751525878906,163600
2000-07-13,43.625,45.0625,43.625,44.5,32.76295471191406,216200
2000-07-14,44.75,45.125,43.75,44.0625,32.44084930419922,323400
2000-07-17,44.125,44.25,43.9375,44.1875,32.53288269042969,173600
2000-07-18,44.0,44.1875,43.125,43.75,32.21076965332031,471000
2000-07-19,43.875,43.875,42.3125,42.5,31.29045867919922,272300
2000-07-20,42.5,42.5625,42.0625,42.375,31.19841766357422,319100
2000-07-21,42.0,42.5,41.5,42.125,31.01437759399414,215200
2000-07-24,42.125,42.75,41.9375,42.0,30.92233657836914,324000
2000-07-25,42.25,42.625,41.875,42.375,31.19841766357422,789900
2000-07-26,42.25,42.75,41.9375,42.4375,31.244426727294922,394700
2000-07-27,42.4375,43.1875,42.4375,42.5,31.29045867919922,353400
2000-07-28,42.5,42.5,41.5,41.9375,30.876323699951172,85000
2000-07-31,41.9375,42.375,41.9375,42.1875,31.060392379760742,133100
2000-08-01,42.0625,43.625,42.0625,43.3125,31.888656616210938,138100
2000-08-02,43.1875,43.375,42.75,43.0,31.658586502075195,153500
2000-08-03,43.25,44.1875,43.125,43.6875,32.16474151611328,115600
2000-08-04,43.9375,44.8125,43.8125,44.5625,32.80895233154297,71800
2000-08-07,44.5625,46.75,44.5625,46.3125,34.09739685058594,248000
2000-08-08,46.0625,47.0,45.625,45.9375,33.82132339477539,136600
2000-08-09,46.0,46.0,44.3125,44.5,32.76295471191406,75800
2000-08-10,44.75,45.875,44.6875,45.125,33.22308349609375,91800
2000-08-11,44.875,46.9375,44.375,46.9375,34.55754852294922,133900
2000-08-14,46.8125,47.1875,45.3125,46.0625,33.91333770751953,89200
2000-08-15,45.9375,45.9375,45.0,45.0625,33.17708969116211,97600
2000-08-16,45.3125,46.5,45.3125,46.0,33.8673210144043,71200
2000-08-17,45.75,46.1875,45.625,45.9375,33.82132339477539,63100
2000-08-18,45.9375,46.3125,45.125,45.3125,33.361148834228516,84300
2000-08-21,45.1875,45.375,44.25,44.3125,32.62490463256836,145400
2000-08-22,44.5,44.6875,43.5,43.5,32.02671432495117,94200
2000-08-23,43.5,43.5,42.0,42.3125,31.152416229248047,329100
2000-08-24,40.75,41.125,37.625,39.0,28.71358871459961,1676600
2000-08-25,39.125,40.75,38.875,40.0,29.449848175048828,406800
2000-08-28,39.75,39.75,38.375,38.5,28.345474243164062,326000
2000-08-29,38.5,41.25,38.5,40.0,29.449848175048828,607100
