Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,52.5625,52.75,49.5,50.46875,29.936134338378906,710100
2000-01-04,49.625,49.625,46.75,47.1875,27.98982810974121,1276900
2000-01-05,47.5,49.1875,46.8125,48.25,28.620059967041016,929200
2000-01-06,48.1875,49.625,47.8125,49.25,29.213207244873047,515900
2000-01-07,49.140625,49.875,48.5,49.875,29.583934783935547,612500
2000-01-10,49.9375,50.0,48.1875,48.625,28.842483520507812,528000
2000-01-11,48.375,48.4375,46.875,47.75,28.323476791381836,873100
2000-01-12,47.75,50.1875,47.625,49.9375,29.621013641357422,787200
2000-01-13,52.0,55.125,51.125,54.8125,32.51267623901367,2193600
2000-01-14,55.5,55.5,53.875,54.875,32.54976272583008,995100
2000-01-18,54.4375,55.625,52.75,55.5625,32.957550048828125,1015400
2000-01-19,55.6875,59.9375,55.625,57.1875,33.92144012451172,2081500
2000-01-20,57.1875,57.25,53.75,53.9375,31.993675231933594,467800
2000-01-21,55.0,56.625,53.5625,55.0625,32.66096115112305,903600
2000-01-24,55.0,55.375,53.125,53.4375,31.69708824157715,481800
2000-01-25,53.9375,55.3125,53.125,54.75,32.475608825683594,537700
2000-01-26,54.875,57.25,54.75,57.0,33.81022262573242,979800
2000-01-27,57.0625,57.8125,54.875,55.625,32.99461364746094,1014600
2000-01-28,55.375,55.375,53.1875,54.0,32.03074645996094,788500
2000-01-31,53.875,60.5625,53.375,60.375,35.81215286254883,2127600
2000-02-01,59.75,62.0,58.125,60.625,35.96043395996094,2151200
2000-02-02,61.25,62.375,58.125,58.90625,34.94095230102539,1931300
2000-02-03,59.8125,60.0,57.0625,57.0625,33.84730529785156,1848800
2000-02-04,57.59375,59.125,57.25,58.1875,34.51457977294922,953700
2000-02-07,58.0,59.3125,57.1875,59.25,35.14483642578125,447200
2000-02-08,59.4375,60.625,58.875,59.40625,35.23752212524414,770300
2000-02-09,59.375,59.75,57.125,57.25,33.95851516723633,590100
2000-02-10,57.25,58.125,57.0625,57.3125,33.9955940246582,1246300
2000-02-11,57.125,58.875,55.6875,55.84375,33.12437438964844,1047200
2000-02-14,56.25,56.75,54.0625,55.125,32.69805145263672,660800
2000-02-15,55.0625,59.5,54.875,58.625,34.774131774902344,956400
2000-02-16,58.375,58.875,56.375,57.5,34.1068000793457,902100
2000-02-17,58.0,59.125,56.375,58.875,34.92241668701172,1179900
2000-02-18,58.75,59.25,57.75,58.5625,34.73704147338867,2051200
2000-02-22,58.375,58.5,55.4375,56.875,33.73607635498047,956700
2000-02-23,56.625,57.875,55.5625,57.5625,34.14387512207031,1294600
2000-02-24,57.375,57.375,55.375,56.4375,33.476566314697266,924600
2000-02-25,56.5,56.5625,55.5,55.6875,33.03171157836914,1051800
2000-02-28,55.75,57.75,55.625,57.75,34.255104064941406,449200
2000-02-29,57.6875,57.75,54.625,56.5,33.513633728027344,1126100
2000-03-01,56.75,56.75,55.625,56.375,33.439483642578125,884300
2000-03-02,56.375,57.1875,55.8125,56.4375,33.476566314697266,584000
2000-03-03,57.0,58.0,56.25,57.0,33.81022262573242,639600
2000-03-06,57.0,58.5,56.4375,56.5,33.513633728027344,896300
2000-03-07,56.75,57.125,56.125,56.1875,33.32828903198242,840700
2000-03-08,56.125,56.125,53.0625,53.875,32.03353500366211,2636800
2000-03-09,53.75,54.0,52.4375,52.9375,31.47612190246582,1656700
2000-03-10,53.1875,53.1875,52.1875,52.3125,31.104507446289062,962700
2000-03-13,51.75,55.8125,51.0,54.5625,32.44234848022461,712700
2000-03-14,54.875,57.5,53.875,54.1875,32.219364166259766,862000
2000-03-15,55.0,57.3125,53.875,56.6875,33.705833435058594,1640500
2000-03-16,57.8125,67.75,57.3125,66.625,39.614593505859375,5989700
2000-03-17,64.0,65.0,61.625,63.3125,37.644996643066406,3449900
2000-03-20,63.125,63.125,59.4375,60.0625,35.712581634521484,1656000
2000-03-21,60.1875,67.8125,59.5,67.34375,40.04195022583008,1861100
2000-03-22,67.625,77.25,64.5,73.3125,43.590911865234375,1821900
2000-03-23,73.1875,73.25,70.5625,72.0625,42.847686767578125,2352900
2000-03-24,72.1875,72.375,64.0,67.125,39.91188049316406,2839700
2000-03-27,67.0625,67.0625,61.6875,62.6875,37.27338409423828,1912800
2000-03-28,62.859375,67.8125,62.8125,65.875,39.168636322021484,2056000
2000-03-29,65.875,66.5,63.625,65.3125,38.83416748046875,821600
2000-03-30,64.875,67.4375,63.4375,64.5,38.35108184814453,1057600
2000-03-31,65.875,68.625,64.5,67.5625,40.17202377319336,1264100
2000-04-03,67.625,72.5,67.5625,70.375,41.844295501708984,2609900
2000-04-04,70.5,72.125,63.875,68.09375,40.487892150878906,1343300
2000-04-05,67.75,69.875,65.25,66.4375,39.50311279296875,741200
2000-04-06,66.875,69.875,65.5,68.875,40.95241165161133,849700
2000-04-07,69.5,69.6875,66.375,66.9375,39.800384521484375,566400
2000-04-10,66.9375,68.3125,64.5,67.0625,39.87470626831055,784000
2000-04-11,67.3125,70.1875,67.25,68.59375,40.78519058227539,609900
2000-04-12,68.625,70.8125,66.4375,66.8125,39.726070404052734,1260900
2000-04-13,66.90625,66.9375,63.0,63.3125,37.644996643066406,967100
2000-04-14,63.0625,63.234375,57.375,57.8125,34.374752044677734,1656000
2000-04-17,57.875,62.125,57.75,58.8125,34.9693603515625,1702700
2000-04-18,59.625,70.125,59.5,70.0,41.6213264465332,1609200
2000-04-19,68.3125,68.875,63.1875,65.0625,38.68553161621094,833300
2000-04-20,64.8125,65.5,64.5,65.5,38.945682525634766,960700
2000-04-24,64.8125,65.75,63.5,64.6875,38.46256637573242,831100
2000-04-25,66.1875,66.25,65.125,65.6875,39.057151794433594,1407400
2000-04-26,66.125,66.875,65.5,66.25,39.39161682128906,1182200
2000-04-27,65.65625,65.9375,63.375,64.625,38.42540740966797,721200
2000-04-28,65.25,65.875,63.375,64.125,38.12810134887695,705500
2000-05-01,64.15625,66.875,63.125,65.4375,38.908504486083984,766300
2000-05-02,65.5,65.5625,63.3125,64.75,38.499725341796875,755000
2000-05-03,64.6875,66.0,63.875,64.5625,38.38824462890625,571600
2000-05-04,64.6875,66.5,63.5,63.625,37.830806732177734,899700
2000-05-05,63.6875,63.75,62.3125,63.1875,37.5706787109375,517800
2000-05-08,63.125,68.375,63.0,66.125,39.31730651855469,709500
2000-05-09,66.0625,68.3125,65.25,66.5625,39.57743453979492,558800
2000-05-10,66.25,66.3125,64.8125,65.6875,39.057151794433594,971000
2000-05-11,66.25,68.0,66.25,67.125,39.91188049316406,743800
2000-05-12,67.25,70.0625,66.375,69.3125,41.212562561035156,933700
2000-05-15,68.4375,72.1875,68.375,71.875,42.736167907714844,1230000
2000-05-16,72.625,73.3125,69.375,69.875,41.547019958496094,1167000
2000-05-17,69.5625,69.8125,68.5625,69.5625,41.36117935180664,264100
2000-05-18,69.40625,71.25,69.1875,69.1875,41.138214111328125,463500
2000-05-19,68.125,68.5,65.125,66.0625,39.28013229370117,768800
2000-05-22,66.4375,67.625,65.375,67.625,40.20916748046875,602800
2000-05-23,67.0,69.375,67.0,69.0,41.02675247192383,493700
2000-05-24,68.0,70.125,67.5,69.8125,41.50984191894531,1123300
2000-05-25,69.375,69.5,62.75,64.125,38.12810134887695,1181300
2000-05-26,64.625,67.125,64.375,65.9375,39.205806732177734,878400
2000-05-30,66.25,66.75,63.75,64.5625,38.38824462890625,795500
2000-05-31,64.1875,66.5625,63.75,65.8125,39.1314811706543,591100
