Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.8125,27.84375,26.8125,27.46875,17.354616165161133,7239800
2000-01-04,26.96875,27.78125,26.875,27.09375,17.117694854736328,7963000
2000-01-05,27.03125,27.5,26.75,27.03125,17.078210830688477,4826200
2000-01-06,27.1875,29.03125,27.03125,28.875,18.243074417114258,8005000
2000-01-07,29.21875,30.03125,29.0625,29.40625,18.578718185424805,7368600
2000-01-10,29.375,29.78125,28.9375,29.6875,18.75641441345215,5301600
2000-01-11,29.78125,30.4375,29.21875,30.28125,19.13153648376465,5525600
2000-01-12,30.03125,30.53125,29.53125,29.59375,18.697175979614258,4767600
2000-01-13,29.6875,30.75,29.6875,30.4375,19.230253219604492,4431000
2000-01-14,30.59375,31.1875,30.125,30.75,19.427692413330078,4340400
2000-01-18,31.0,33.375,30.875,33.0625,20.888717651367188,10215200
2000-01-19,33.0,33.25,32.53125,32.9375,20.80974006652832,6894200
2000-01-20,32.40625,32.625,31.625,32.28125,20.395126342773438,5076800
2000-01-21,32.46875,33.8125,32.4375,33.0,20.849227905273438,8978600
2000-01-24,33.125,33.46875,32.0,32.15625,20.31614875793457,5464400
2000-01-25,31.65625,32.375,31.25,31.75,20.059486389160156,6135600
2000-01-26,32.125,32.5,30.78125,31.4375,19.8620548248291,6799600
2000-01-27,31.3125,32.25,30.65625,31.25,19.74359130859375,8198000
2000-01-28,31.0625,31.625,29.875,30.0,18.953842163085938,6604200
2000-01-31,30.1875,30.78125,29.875,30.53125,19.28948211669922,4803200
2000-02-01,30.96875,32.03125,30.875,31.96875,20.197689056396484,3888400
2000-02-02,32.25,32.5625,30.625,30.75,19.427692413330078,6333000
2000-02-03,31.0,31.125,30.375,30.65625,19.36845588684082,4744400
2000-02-04,30.375,30.65625,29.375,29.75,18.795896530151367,6238600
2000-02-07,29.5625,30.75,29.5625,30.34375,19.1710262298584,4456000
2000-02-08,30.5625,30.84375,29.375,29.75,18.795896530151367,3218600
2000-02-09,29.75,30.15625,28.46875,28.53125,18.025897979736328,5931400
2000-02-10,29.0,29.8125,28.75,29.53125,18.657686233520508,7112800
2000-02-11,29.75,30.09375,29.15625,29.21875,18.460250854492188,5045000
2000-02-14,29.21875,30.25,28.75,30.25,19.111793518066406,4750600
2000-02-15,30.75,32.625,30.65625,32.5,20.5333309173584,10922200
2000-02-16,32.90625,33.1875,32.53125,33.0,20.849227905273438,11507000
2000-02-17,32.75,33.84375,32.375,33.4375,21.125638961791992,10306800
2000-02-18,33.59375,33.875,32.9375,33.25,21.00718116760254,5774400
2000-02-22,32.9375,33.375,32.125,32.65625,20.690547943115234,5059000
2000-02-23,32.25,32.5625,31.875,32.25,20.433147430419922,4034800
2000-02-24,32.25,34.34375,32.1875,34.21875,21.68051528930664,12022800
2000-02-25,34.125,34.625,33.4375,33.5,21.225128173828125,7579800
2000-02-28,33.3125,35.09375,33.28125,34.625,21.937908172607422,7540600
2000-02-29,35.25,36.9375,35.15625,36.9296875,23.398120880126953,9574600
2000-03-01,37.90625,41.0625,37.5,38.53125,24.412857055664062,15547800
2000-03-02,40.5,42.1875,40.3125,40.8125,25.858217239379883,19973800
2000-03-03,40.4375,40.46875,38.25,39.3125,24.90785026550293,12784000
2000-03-06,38.875,39.59375,38.59375,38.6875,24.51186180114746,7330800
2000-03-07,39.0,42.1875,39.0,41.09375,26.036422729492188,10148000
2000-03-08,38.5,39.4375,38.03125,38.53125,24.412857055664062,9460400
2000-03-09,38.0,38.65625,37.15625,38.3125,24.27426528930664,7907000
2000-03-10,38.125,40.375,38.0625,38.34375,24.294076919555664,6666000
2000-03-13,38.0,40.21875,37.78125,38.90625,24.65046501159668,6680200
2000-03-14,38.4375,38.84375,37.28125,38.125,24.155473709106445,6117400
2000-03-15,37.6875,38.09375,36.6875,36.9375,23.403076171875,5643800
2000-03-16,36.8125,37.96875,36.09375,37.75,23.917865753173828,8374600
2000-03-17,37.375,38.25,37.09375,37.15625,23.54168128967285,6825400
2000-03-20,37.1875,37.1875,34.71875,35.125,22.25471305847168,7996400
2000-03-21,35.28125,37.09375,35.28125,36.0,22.809101104736328,6822000
2000-03-22,36.625,39.3125,36.5,38.3125,24.27426528930664,8403800
2000-03-23,38.75,39.6875,37.90625,38.65625,24.4920597076416,6109800
2000-03-24,39.75,40.40625,38.71875,39.09375,24.769248962402344,6014600
2000-03-27,38.625,40.65625,37.90625,39.8125,25.224647521972656,7670200
2000-03-28,39.125,40.21875,38.15625,38.4375,24.353469848632812,6372400
2000-03-29,37.84375,40.96875,37.78125,40.5625,25.6998348236084,8049400
2000-03-30,41.375,41.9375,38.875,38.875,24.630657196044922,6718600
2000-03-31,39.5,40.15625,38.25,38.25,24.234664916992188,4591600
2000-04-03,39.0,40.9375,39.0,40.59375,25.719629287719727,5759000
2000-04-04,40.5,41.375,38.375,39.59375,25.086044311523438,10392000
2000-04-05,39.5,39.96875,36.5,36.875,23.363481521606445,8733600
2000-04-06,37.46875,38.09375,36.25,37.5,23.75948143005371,7037800
2000-04-07,37.53125,39.0,36.71875,36.8125,23.323881149291992,6043000
2000-04-10,36.0625,36.1875,35.15625,35.15625,22.274507522583008,6623200
2000-04-11,35.53125,36.625,35.25,36.46875,23.10609245300293,6611200
2000-04-12,36.75,37.46875,36.15625,36.625,23.2050838470459,6125800
2000-04-13,36.5,37.21875,35.875,35.875,22.72989845275879,4631400
2000-04-14,35.6875,37.3125,34.59375,35.09375,22.234901428222656,5751000
2000-04-17,35.09375,35.1875,33.40625,34.15625,21.640928268432617,5328400
2000-04-18,34.8125,36.9375,34.75,36.9375,23.403076171875,6359200
2000-04-19,36.84375,37.21875,35.8125,36.875,23.363481521606445,4802800
2000-04-20,37.0,37.3125,36.65625,36.78125,23.3040828704834,5146600
2000-04-24,37.25,37.5625,36.625,37.15625,23.54168128967285,5022400
2000-04-25,37.46875,37.875,36.84375,37.46875,23.739675521850586,5275800
2000-04-26,37.40625,38.8125,36.71875,38.65625,24.4920597076416,6795800
2000-04-27,38.78125,39.9375,38.0,39.3125,24.90785026550293,7609800
2000-04-28,38.8125,39.375,38.125,38.28125,24.25446128845215,3429000
2000-05-01,38.15625,38.3125,36.9375,37.5,23.75948143005371,9229000
2000-05-02,37.6875,38.875,37.625,38.78125,24.571252822875977,7892200
2000-05-03,38.28125,38.6875,37.03125,37.6875,23.878263473510742,6925800
2000-05-04,37.5,38.625,37.5,38.0,24.07628059387207,5382200
2000-05-05,37.875,38.96875,37.53125,38.8125,24.591066360473633,3227200
2000-05-08,38.6875,39.6875,37.875,38.28125,24.25446128845215,4600400
2000-05-09,38.3125,39.21875,37.9375,38.84375,24.610849380493164,4070200
2000-05-10,38.8125,38.9375,37.5,38.4375,24.353469848632812,4237400
2000-05-11,38.25,39.3125,38.25,39.0625,24.74944305419922,3292800
2000-05-12,39.46875,40.46875,38.75,40.28125,25.52163314819336,5167200
2000-05-15,40.0,41.78125,39.90625,41.59375,26.35321044921875,5640200
2000-05-16,41.46875,41.65625,40.53125,41.40625,26.234413146972656,5723200
2000-05-17,41.03125,42.125,40.8125,41.5,26.293832778930664,5177200
2000-05-18,40.375,40.65625,39.53125,40.375,25.581037521362305,8317400
2000-05-19,40.28125,40.75,39.40625,39.59375,25.086044311523438,6987600
2000-05-22,39.09375,39.25,36.625,36.78125,23.3040828704834,6371800
2000-05-23,36.96875,38.21875,36.5625,37.59375,23.81888198852539,6294200
2000-05-24,37.6875,37.9375,36.4375,37.125,23.521879196166992,4444000
2000-05-25,37.125,37.125,34.625,37.03125,23.462491989135742,11573000
2000-05-26,37.25,37.59375,35.28125,35.53125,22.512104034423828,3754200
2000-05-30,35.78125,36.625,35.28125,35.5,22.49229621887207,6325600
2000-05-31,36.4375,37.40625,36.0625,36.78125,23.3040828704834,7982400
2000-06-01,36.78125,37.15625,35.625,36.5625,23.16548728942871,6380800
2000-06-02,36.46875,36.6875,34.75,34.875,22.0963077545166,7873400
2000-06-05,36.25,36.25,34.53125,34.53125,21.937639236450195,6763200
2000-06-06,35.3125,36.40625,35.125,35.8125,22.75162124633789,7713000
2000-06-07,36.03125,36.375,35.1875,35.9375,22.83103370666504,5683000
2000-06-08,35.90625,36.6875,35.65625,36.375,23.108976364135742,4516200
2000-06-09,36.5,36.5,35.4375,35.75,22.711915969848633,4499400
2000-06-12,36.25,37.25,36.25,36.515625,23.19831657409668,3897400
2000-06-13,36.9375,37.59375,36.78125,37.25,23.66486167907715,4607000
2000-06-14,37.25,38.15625,36.875,37.125,23.58544921875,5216000
2000-06-15,37.125,37.3125,36.09375,36.75,23.347211837768555,7113400
2000-06-16,37.28125,37.96875,37.25,37.90625,24.081785202026367,5728800
2000-06-19,37.59375,37.71875,36.3125,36.90625,23.44648551940918,5023800
2000-06-20,37.03125,37.125,35.6875,37.03125,23.52589988708496,5971600
2000-06-21,37.96875,39.75,37.21875,38.8125,24.65752410888672,7738600
2000-06-22,39.0,39.0625,36.875,37.59375,23.88325309753418,5384400
2000-06-23,37.5625,38.125,36.78125,37.25,23.66486167907715,4079600
2000-06-26,37.28125,37.78125,36.59375,37.09375,23.56559944152832,3770000
2000-06-27,37.125,37.65625,36.5625,37.625,23.903100967407227,4911600
2000-06-28,37.5625,37.59375,36.40625,36.53125,23.208234786987305,3963200
2000-06-29,36.8125,37.4375,36.375,37.03125,23.52589988708496,3488600
2000-06-30,37.03125,37.5625,36.09375,37.3125,23.704565048217773,3640000
2000-07-03,37.1875,37.25,36.71875,37.15625,23.60529899597168,1451400
2000-07-05,36.5,36.5,34.9375,35.0,22.235443115234375,5633800
2000-07-06,35.8125,36.34375,35.53125,35.875,22.79132652282715,6730600
2000-07-07,35.9375,36.09375,35.3125,35.65625,22.6523494720459,4153000
2000-07-10,35.5,36.0,34.3125,34.4375,21.878082275390625,8763200
2000-07-11,35.5,37.59375,35.5,37.4765625,23.808799743652344,8150600
2000-07-12,37.46875,38.0,36.78125,36.84375,23.40677261352539,5816400
2000-07-13,37.0,37.3125,36.34375,37.09375,23.56559944152832,3248400
2000-07-14,36.75,37.5,36.34375,37.40625,23.76413917541504,2902600
2000-07-17,37.0,37.0,36.15625,36.171875,22.979934692382812,3060000
2000-07-18,37.125,37.875,36.90625,37.84375,24.042068481445312,5144600
2000-07-19,38.125,38.59375,37.3125,38.03125,24.161191940307617,3421000
2000-07-20,38.15625,38.46875,37.53125,37.625,23.903100967407227,4868800
2000-07-21,37.5,37.5,36.3125,36.65625,23.28765296936035,3390400
2000-07-24,36.59375,36.9375,35.0625,35.5,22.55309295654297,5082600
2000-07-25,36.375,36.46875,35.03125,35.28125,22.414113998413086,3843200
2000-07-26,35.5,36.28125,35.1875,35.65625,22.6523494720459,5616600
2000-07-27,36.1875,36.71875,35.96875,36.6875,23.307506561279297,4049600
2000-07-28,36.75,37.0625,35.78125,36.9140625,23.451427459716797,3910000
2000-07-31,36.9375,37.21875,36.34375,36.9609375,23.481224060058594,5163400
2000-08-01,37.1875,37.84375,37.0625,37.75,23.98250389099121,5692000
2000-08-02,38.71875,39.3125,38.5625,39.0,24.77663803100586,7042000
2000-08-03,39.25,39.34375,38.03125,38.15625,24.2406005859375,4270000
2000-08-04,38.3125,39.21875,37.71875,38.9140625,24.72203826904297,4168400
2000-08-07,38.5,39.53125,38.40625,39.0703125,24.82131004333496,4018000
2000-08-08,39.09375,39.75,39.03125,39.7109375,25.22828483581543,4126600
2000-08-09,40.25,41.125,40.0,41.125,26.126638412475586,10249000
2000-08-10,40.6875,41.0,40.25,40.4765625,25.714691162109375,4784400
2000-08-11,40.46875,40.46875,39.5,39.8125,25.292823791503906,4015000
2000-08-14,40.0,41.0,39.875,41.0,26.047224044799805,5805600
2000-08-15,41.25,41.34375,40.28125,41.0625,26.08693504333496,6431200
2000-08-16,41.0,43.1328125,40.75,43.1328125,27.402198791503906,10025400
2000-08-17,43.0,43.375,42.625,43.28125,27.496505737304688,6963800
2000-08-18,43.3125,43.3125,42.40625,42.625,27.079587936401367,5890600
2000-08-21,42.78125,43.28125,42.21875,42.96875,27.297975540161133,6026600
2000-08-22,43.25,43.46875,42.8125,43.125,27.397241592407227,5946600
2000-08-23,43.6875,44.25,43.40625,43.65625,27.73473358154297,5019600
2000-08-24,43.4375,43.4375,42.8125,43.03125,27.337678909301758,4283200
2000-08-25,43.0,43.0,41.71875,42.875,27.238420486450195,5113000
2000-08-28,42.75,44.4375,42.34375,43.9375,27.913415908813477,4515600
2000-08-29,43.4375,44.25,42.84375,43.1015625,27.382356643676758,4295800
2000-08-30,43.03125,43.34375,41.84375,42.4609375,26.975364685058594,4236400
2000-08-31,42.71875,42.96875,42.03125,42.6640625,27.10441017150879,3911800
2000-09-01,42.5625,43.34375,42.53125,43.1640625,27.482601165771484,2273600
2000-09-05,42.8125,43.09375,41.8125,42.84375,27.27866554260254,4661600
2000-09-06,43.25,43.84375,42.46875,43.25,27.53731918334961,6145200
2000-09-07,42.5625,42.6875,41.53125,41.84375,26.641963958740234,5047600
2000-09-08,41.03125,41.375,40.25,41.25,26.263927459716797,5201800
2000-09-11,41.96875,42.96875,41.625,42.625,27.139385223388672,5363200
2000-09-12,42.96875,42.96875,41.4375,42.34375,26.960317611694336,7890200
2000-09-13,41.84375,41.84375,41.34375,41.46875,26.40320587158203,5625000
2000-09-14,41.5625,42.28125,41.03125,41.8828125,26.666831970214844,5095000
2000-09-15,42.0,42.65625,42.0,42.34375,26.960317611694336,6191600
2000-09-18,42.375,42.625,41.3125,41.5078125,26.428070068359375,4971800
2000-09-19,41.625,41.9375,40.4375,40.4375,25.74658966064453,5181200
2000-09-20,41.0,42.0,39.375,39.8125,25.348674774169922,9586000
2000-09-21,39.25,40.53125,38.90625,40.28125,25.647117614746094,8329000
2000-09-22,40.3125,40.96875,39.5,39.5859375,25.20441436767578,5719200
2000-09-25,39.34375,39.625,38.09375,39.4921875,25.14472007751465,12461800
2000-09-26,39.6875,39.90625,38.96875,39.5,25.149696350097656,6619400
2000-09-27,39.875,40.96875,39.125,40.78125,25.965465545654297,5964400
2000-09-28,40.75,41.15625,40.25,40.6953125,25.910755157470703,6761000
2000-09-29,41.5,41.8125,41.09375,41.15625,26.2042236328125,4716000
2000-10-02,41.5625,42.46875,40.875,42.46875,27.03990364074707,4958400
2000-10-03,42.5,43.125,42.125,42.3125,26.940412521362305,5240000
2000-10-04,41.5,41.6875,40.46875,40.84375,26.005266189575195,4915200
2000-10-05,40.4375,41.125,39.875,41.0625,26.1445369720459,4756200
2000-10-06,41.0625,41.65625,40.125,40.125,25.547637939453125,3292000
2000-10-09,40.71875,41.25,40.5625,40.84375,26.005266189575195,2921800
2000-10-10,41.5,42.5,41.4375,41.90625,26.681764602661133,6658800
2000-10-11,42.21875,43.0,41.1875,41.6875,26.542484283447266,4805600
2000-10-12,41.90625,43.1875,41.90625,42.5,27.059791564941406,5212400
2000-10-13,42.1875,42.1875,40.53125,40.71875,25.92568016052246,4443800
2000-10-16,40.71875,40.71875,39.78125,39.9375,25.42825698852539,3931600
2000-10-17,40.5625,41.4375,40.375,40.9375,26.064952850341797,5374800
2000-10-18,41.5625,41.75,40.3125,40.71875,25.92568016052246,4715600
2000-10-19,40.71875,41.9375,40.34375,40.78125,25.965465545654297,4036600
2000-10-20,40.6875,42.21875,40.625,42.0625,26.781238555908203,3895600
2000-10-23,41.96875,41.96875,40.0,40.25,25.627222061157227,7477800
2000-10-24,40.46875,40.71875,39.34375,39.40625,25.090009689331055,5115400
2000-10-25,38.5,39.5,37.625,37.65625,23.97579002380371,7717200
2000-10-26,38.3125,38.6875,37.0,38.09375,24.254335403442383,6468600
2000-10-27,38.28125,38.28125,36.28125,37.5625,23.916086196899414,5877000
2000-10-30,37.53125,38.09375,36.5,37.9375,24.154850006103516,7002600
2000-10-31,38.1875,38.375,37.28125,38.0625,24.23444175720215,5921800
2000-11-01,38.46875,40.15625,38.46875,40.0625,25.50783920288086,6985400
2000-11-02,39.9375,39.96875,39.09375,39.34375,25.050209045410156,6221200
2000-11-03,39.25,40.375,39.15625,39.46875,25.129804611206055,3713600
2000-11-06,39.71875,39.71875,38.0625,38.78125,24.692062377929688,6350200
2000-11-07,39.125,39.71875,39.03125,39.5625,25.189491271972656,5338400
2000-11-08,39.65625,40.28125,39.46875,40.0,25.468046188354492,4664600
2000-11-09,40.1875,40.4375,38.625,39.4375,25.109891891479492,5405200
2000-11-10,39.65625,39.90625,38.5625,38.65625,24.612478256225586,3832600
2000-11-13,39.0625,39.375,37.1875,37.1875,23.67731285095215,6970200
2000-11-14,37.125,38.4375,36.875,37.96875,24.174753189086914,5647600
2000-11-15,38.6875,39.96875,38.46875,39.84375,25.36857795715332,4967400
2000-11-16,39.75,40.15625,39.03125,39.5625,25.189491271972656,4200000
2000-11-17,39.0,39.1875,37.6875,38.1875,24.314023971557617,6403600
2000-11-20,38.5,38.71875,37.125,37.375,23.79670524597168,5656600
2000-11-21,37.40625,37.9375,37.15625,37.4375,23.83650016784668,5145800
2000-11-22,36.75,37.09375,35.5625,35.84375,22.821744918823242,5369000
2000-11-24,36.15625,36.96875,35.875,36.71875,23.378870010375977,2009800
2000-11-27,36.5,36.65625,35.40625,35.6875,22.722267150878906,6554600
2000-11-28,35.65625,36.15625,34.625,34.65625,22.06568145751953,8257000
2000-11-29,34.6875,34.78125,32.375,33.03125,21.031042098999023,13534400
2000-11-30,33.15625,33.40625,30.59375,31.0,19.737733840942383,15274400
2000-12-01,31.46875,33.90625,30.5625,33.375,21.24990463256836,15577400
2000-12-04,33.40625,34.3125,33.3125,34.15625,21.74732780456543,8304400
2000-12-05,34.65625,34.84375,33.8125,34.125,21.727426528930664,7855800
2000-12-06,34.71875,35.15625,33.625,34.21875,21.787113189697266,11115600
2000-12-07,34.5625,35.1875,34.34375,34.90625,22.22484588623047,7360000
2000-12-08,34.90625,35.125,34.125,34.6875,22.08557891845703,10317600
2000-12-11,34.9375,36.28125,34.84375,36.15625,23.020719528198242,5058000
2000-12-12,36.875,37.1875,36.1875,36.6875,23.358972549438477,6886000
2000-12-13,36.78125,37.40625,35.875,36.0,22.921239852905273,9114200
2000-12-14,36.15625,36.90625,35.21875,35.25,22.443716049194336,5136000
2000-12-15,35.15625,36.4375,35.03125,35.96875,22.901338577270508,6299400
2000-12-18,36.46875,38.59375,36.4375,38.5,24.51299285888672,8165200
2000-12-19,38.25,40.46875,38.25,39.875,25.388471603393555,10096600
2000-12-20,39.65625,39.8125,37.59375,37.6875,23.995670318603516,9137200
2000-12-21,37.6875,37.84375,37.09375,37.5,23.935998916625977,8684200
2000-12-22,37.75,38.34375,37.5625,38.25,24.414710998535156,6404400
2000-12-26,38.40625,40.875,38.40625,40.46875,25.8309268951416,5614200
2000-12-27,40.46875,40.96875,39.34375,40.125,25.611522674560547,5103200
2000-12-28,39.90625,40.9375,39.65625,40.71875,25.99050521850586,4469200
2000-12-29,40.75,41.21875,39.96875,39.96875,25.511783599853516,3986600
2001-01-02,40.09375,41.40625,40.09375,40.875,26.09023094177246,6675800
2001-01-03,40.71875,40.75,39.375,39.875,25.45195198059082,12393800
2001-01-04,39.5,39.53125,37.5,38.84375,24.793699264526367,11791400
2001-01-05,38.84375,39.625,38.09375,38.375,24.494503021240234,6584200
2001-01-08,38.71875,39.21875,38.25,38.5,24.57428741455078,4615000
2001-01-09,39.28125,39.4375,38.1875,38.59375,24.63412094116211,7282400
2001-01-10,38.5,39.4375,38.4375,39.125,24.973222732543945,7696000
2001-01-11,39.59375,40.3125,39.1875,40.21875,25.671356201171875,9695000
2001-01-12,40.0,40.625,39.8125,40.53125,25.870824813842773,5219600
2001-01-16,40.53125,40.875,39.4375,40.28125,25.71124839782715,7114000
2001-01-17,39.25,39.25,37.8125,38.25,24.414710998535156,9685600
2001-01-18,38.28125,38.6875,36.1875,36.40625,23.237857818603516,10294000
2001-01-19,36.4375,37.03125,35.8125,36.84375,23.517112731933594,8969400
2001-01-22,37.0,37.5625,36.46875,36.8125,23.497167587280273,6045400
2001-01-23,37.28125,37.53125,36.53125,36.9375,23.576948165893555,6757200
2001-01-24,37.5,38.3125,36.78125,37.75,24.095571517944336,5649800
2001-01-25,37.78125,39.5,37.34375,39.46875,25.192638397216797,9040200
2001-01-26,39.4375,39.46875,38.28125,38.65625,24.674028396606445,7697000
2001-01-29,38.25,38.45000076293945,37.58000183105469,37.814998626708984,24.137056350708008,5055800
2001-01-30,38.150001525878906,38.375,37.349998474121094,37.75,24.095571517944336,5095000
2001-01-31,37.875,38.42499923706055,37.54999923706055,38.400001525878906,24.510456085205078,4706600
2001-02-01,37.900001525878906,37.904998779296875,37.31999969482422,37.755001068115234,24.09877586364746,3812400
2001-02-02,38.255001068115234,38.724998474121094,38.0,38.5,24.57428741455078,4939600
2001-02-05,38.5,39.32500076293945,38.5,39.005001068115234,24.896623611450195,6697800
2001-02-06,39.18000030517578,39.775001525878906,38.474998474121094,39.64500045776367,25.305137634277344,6371800
2001-02-07,39.474998474121094,39.95500183105469,39.0,39.58000183105469,25.26365089416504,8329200
2001-02-08,39.58000183105469,39.939998626708984,39.11000061035156,39.19499969482422,25.017898559570312,5878200
2001-02-09,39.5,39.92499923706055,38.880001068115234,39.099998474121094,24.95725440979004,4858200
2001-02-12,37.25,37.54999923706055,34.25,34.5,22.021121978759766,30477000
2001-02-13,34.0,34.20000076293945,31.899999618530273,32.0099983215332,20.4317569732666,37295200
2001-02-14,32.369998931884766,32.91999816894531,31.75,32.720001220703125,20.88495635986328,27961000
2001-02-15,32.75,32.75,31.690000534057617,32.125,20.50516700744629,15092400
2001-02-16,32.5,32.69499969482422,31.774999618530273,32.25,20.584949493408203,17278800
2001-02-20,32.474998474121094,32.849998474121094,32.25,32.4900016784668,20.798770904541016,11110000
2001-02-21,31.75,32.369998931884766,31.600000381469727,31.649999618530273,20.26103401184082,11131800
2001-02-22,32.400001525878906,32.650001525878906,31.0,31.219999313354492,19.985769271850586,11803000
2001-02-23,31.299999237060547,31.625,29.854999542236328,30.0049991607666,19.207969665527344,12068000
2001-02-26,30.950000762939453,32.5,30.764999389648438,32.32500076293945,20.693145751953125,15737800
2001-02-27,32.349998474121094,32.47999954223633,32.0,32.20000076293945,20.613121032714844,8766200
2001-02-28,32.29999923706055,32.369998931884766,31.450000762939453,31.875,20.40506935119629,7727000
2001-03-01,31.899999618530273,32.27000045776367,31.5,31.65999984741211,20.267440795898438,8348400
2001-03-02,31.799999237060547,33.0,31.584999084472656,32.70000076293945,20.93320083618164,8198600
2001-03-05,32.7400016784668,33.599998474121094,32.525001525878906,33.1150016784668,21.198862075805664,5393600
2001-03-06,33.0,33.779998779296875,32.75,33.54499816894531,21.474130630493164,5632000
2001-03-07,33.54999923706055,34.60499954223633,33.54999923706055,34.599998474121094,22.14949607849121,8284600
2001-03-08,34.375,34.779998779296875,33.75,34.47999954223633,22.072690963745117,7693200
2001-03-09,34.29999923706055,34.79999923706055,33.91999816894531,34.35499954223633,21.992671966552734,7160800
2001-03-12,34.36000061035156,34.67499923706055,33.21500015258789,33.994998931884766,21.7622013092041,6853600
2001-03-13,33.79999923706055,33.79999923706055,32.92499923706055,33.07500076293945,21.173263549804688,6283200
2001-03-14,33.0,33.724998474121094,32.33000183105469,32.54999923706055,20.83718490600586,6947200
2001-03-15,32.54999923706055,32.79999923706055,31.5,31.81999969482422,20.369857788085938,7691400
2001-03-16,31.049999237060547,31.899999618530273,30.5,30.600000381469727,19.588865280151367,12111800
2001-03-19,30.924999237060547,32.0,30.924999237060547,31.729999542236328,20.3122501373291,6448000
2001-03-20,32.07500076293945,33.150001525878906,31.864999771118164,32.529998779296875,20.824378967285156,7572400
2001-03-21,31.825000762939453,32.529998779296875,31.399999618530273,31.5,20.165002822875977,6491400
2001-03-22,31.260000228881836,31.334999084472656,29.899999618530273,30.479999542236328,19.512042999267578,10645400
2001-03-23,30.924999237060547,31.950000762939453,30.385000228881836,31.405000686645508,20.104204177856445,7771000
2001-03-26,31.700000762939453,32.375,31.700000762939453,31.899999618530273,20.42107582092285,6153000
2001-03-27,32.150001525878906,32.3650016784668,31.024999618530273,31.399999618530273,20.100994110107422,6205400
2001-03-28,31.299999237060547,31.344999313354492,30.149999618530273,30.270000457763672,19.37761688232422,6342600
2001-03-29,29.799999237060547,29.90999984741211,28.649999618530273,28.895000457763672,18.497398376464844,10501200
2001-03-30,29.0,29.7450008392334,28.760000228881836,28.80500030517578,18.43977928161621,14008800
2001-04-02,28.875,28.924999237060547,27.309999465942383,27.6299991607666,17.687589645385742,10109000
2001-04-03,27.950000762939453,28.049999237060547,26.420000076293945,26.520000457763672,16.977020263671875,12499200
2001-04-04,26.75,27.7549991607666,26.674999237060547,27.014999389648438,17.293903350830078,12803400
2001-04-05,27.684999465942383,28.674999237060547,27.40999984741211,28.4950008392334,18.241329193115234,10900200
2001-04-06,28.03499984741211,29.479999542236328,27.704999923706055,28.975000381469727,18.548608779907227,12761800
2001-04-09,29.950000762939453,30.200000762939453,29.5,30.149999618530273,19.300796508789062,9108600
2001-04-10,30.5,30.895000457763672,29.78499984741211,30.850000381469727,19.74890899658203,11152000
2001-04-11,30.75,30.844999313354492,30.09000015258789,30.09000015258789,19.26238441467285,6420800
2001-04-12,30.225000381469727,30.950000762939453,30.225000381469727,30.604999542236328,19.592073440551758,10133400
2001-04-16,30.604999542236328,31.280000686645508,30.424999237060547,31.075000762939453,19.892942428588867,4219600
2001-04-17,30.875,31.635000228881836,30.719999313354492,31.31999969482422,20.049779891967773,6406600
2001-04-18,31.424999237060547,31.9950008392334,30.3799991607666,30.559999465942383,19.563264846801758,12383600
2001-04-19,30.700000762939453,30.875,29.399999618530273,29.600000381469727,18.94870948791504,10390800
2001-04-20,30.0049991607666,30.6200008392334,29.649999618530273,30.385000228881836,19.45122528076172,8965800
