Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.015625,4.03125,3.96875,3.984375,2.579425811767578,266400
2000-01-04,3.9375,3.96875,3.6875,3.765625,2.4378111362457275,1070400
2000-01-05,3.796875,4.078125,3.765625,4.046875,2.6198883056640625,906400
2000-01-06,4.03125,4.109375,4.03125,4.09375,2.650235176086426,1042000
2000-01-07,4.109375,4.234375,4.09375,4.234375,2.7412726879119873,1640400
2000-01-10,4.265625,4.390625,4.234375,4.375,2.832313060760498,910400
2000-01-11,4.34375,4.390625,4.1875,4.1875,2.7109272480010986,263200
2000-01-12,4.625,4.75,4.390625,4.40625,2.852543354034424,4065200
2000-01-13,4.375,4.484375,4.171875,4.453125,2.8828890323638916,7131600
2000-01-14,4.375,4.515625,4.375,4.46875,2.893004894256592,1835600
2000-01-18,4.5,4.546875,4.4375,4.484375,2.9031198024749756,1260000
2000-01-19,4.5,4.5,4.3125,4.320312976837158,2.7969086170196533,1443600
2000-01-20,4.375,4.4375,4.296875,4.359375,2.822195291519165,738400
2000-01-21,4.359375,4.375,4.28125,4.359375,2.822195291519165,713200
2000-01-24,4.28125,4.40625,4.234375,4.25,2.7513887882232666,589200
2000-01-25,4.21875,4.265625,4.0,4.046875,2.6198883056640625,645600
2000-01-26,4.046875,4.25,4.015625,4.15625,2.6906957626342773,724000
2000-01-27,4.140625,4.25,4.09375,4.125,2.6704654693603516,352800
2000-01-28,4.125,4.15625,4.0,4.109375,2.6603496074676514,440000
2000-01-31,4.0625,4.078125,3.875,3.890625,2.5187339782714844,852000
2000-02-01,3.921875,4.328125,3.890625,4.296875,2.7817351818084717,660400
2000-02-02,4.3125,4.359375,4.234375,4.34375,2.8120803833007812,988800
2000-02-03,4.25,4.3125,4.09375,4.15625,2.6906957626342773,479200
2000-02-04,4.15625,4.1875,4.0625,4.15625,2.6906957626342773,286800
2000-02-07,4.0625,4.234375,4.03125,4.21875,2.7311575412750244,911600
2000-02-08,4.21875,4.21875,4.0,4.109375,2.6603496074676514,514800
2000-02-09,4.09375,4.109375,4.03125,4.046875,2.6198883056640625,691600
2000-02-10,4.078125,4.125,4.03125,4.125,2.6704654693603516,489600
2000-02-11,4.09375,4.15625,3.8125,3.890625,2.5187339782714844,462800
2000-02-14,3.90625,3.9375,3.71875,3.765625,2.4378111362457275,1557200
2000-02-15,3.734375,4.0,3.734375,3.90625,2.528851270675659,1184400
2000-02-16,3.9375,4.28125,3.875,4.1875,2.7109272480010986,2289200
2000-02-17,4.148437976837158,4.34375,4.140625,4.21875,2.7311575412750244,1532000
2000-02-18,4.25,4.25,4.0625,4.109375,2.6603496074676514,626000
2000-02-22,4.125,4.15625,4.0,4.140625,2.6805810928344727,444800
2000-02-23,4.09375,4.1875,4.09375,4.15625,2.6906957626342773,944000
2000-02-24,4.125,4.1875,4.09375,4.109375,2.6603496074676514,880400
2000-02-25,4.09375,4.109375,3.984375,4.015625,2.5996570587158203,495600
2000-02-28,4.0,4.015625,3.9375,3.96875,2.5693109035491943,318400
2000-02-29,3.96875,3.984375,3.796875,3.84375,2.4883875846862793,1204400
2000-03-01,3.84375,3.90625,3.84375,3.90625,2.528851270675659,522400
2000-03-02,3.84375,3.921875,3.8125,3.890625,2.5187339782714844,207200
2000-03-03,3.875,3.890625,3.8125,3.859375,2.498504161834717,825200
2000-03-06,3.8125,3.84375,3.46875,3.53125,2.286080837249756,1084000
2000-03-07,3.5625,3.5625,3.28125,3.34375,2.1646957397460938,1449200
2000-03-08,3.359375,3.5,3.34375,3.375,2.1849262714385986,1152800
2000-03-09,3.484375,3.484375,3.234375,3.3125,2.144465446472168,2997200
2000-03-10,3.296875,3.359375,3.25,3.265625,2.114118814468384,489200
2000-03-13,3.28125,3.34375,3.15625,3.1875,2.063541889190674,389200
2000-03-14,3.1875,3.21875,2.859375,3.015625,1.9522730112075806,936000
2000-03-15,3.09375,3.109375,2.78125,2.921875,1.8915798664093018,2743600
2000-03-16,2.9375,3.5,2.9375,3.4375,2.2253878116607666,2366400
2000-03-17,3.34375,3.46875,3.1875,3.25,2.104004144668579,1157600
2000-03-20,3.34375,3.375,3.265625,3.28125,2.1242332458496094,1090800
2000-03-21,3.28125,3.390625,3.28125,3.390625,2.1950418949127197,204000
2000-03-22,3.375,3.546875,3.34375,3.5,2.26585054397583,905200
2000-03-23,3.429687976837158,3.53125,3.359375,3.4375,2.2253878116607666,188400
2000-03-24,3.4375,3.46875,3.34375,3.34375,2.1646957397460938,207600
2000-03-27,3.4375,3.453125,3.21875,3.21875,2.0837717056274414,263200
2000-03-28,3.289062976837158,3.296875,3.015625,3.046875,1.9725031852722168,683600
2000-03-29,3.039062976837158,3.0625,2.859375,2.90625,1.8814640045166016,1088000
2000-03-30,2.90625,2.96875,2.875,2.90625,1.8814640045166016,561600
2000-03-31,2.921875,2.953125,2.859375,2.890625,1.8713493347167969,733600
2000-04-03,2.90625,2.9375,2.796875,2.8125,1.8207714557647705,1125200
2000-04-04,2.828125,2.984375,2.765625,2.960937976837158,1.916868805885315,2886000
2000-04-05,2.890625,3.0625,2.75,2.84375,1.8410027027130127,890000
2000-04-06,2.890625,2.90625,2.8125,2.875,1.8612338304519653,444800
2000-04-07,2.84375,3.0,2.828125,3.0,1.9421566724777222,466000
2000-04-10,3.03125,3.109375,2.871093988418579,2.875,1.8612338304519653,435600
2000-04-11,2.90625,3.0,2.875,2.890625,1.8713493347167969,595600
2000-04-12,3.03125,3.21875,3.0,3.15625,2.0433108806610107,718000
2000-04-13,3.109375,3.21875,3.082031011581421,3.171875,2.0534262657165527,416800
2000-04-14,3.03125,3.21875,2.921875,3.1875,2.063541889190674,667200
2000-04-17,3.125,3.234375,3.0,3.09375,2.00285005569458,462400
2000-04-18,3.0625,3.140625,2.90625,2.96875,1.92192542552948,427600
2000-04-19,3.046875,3.125,2.875,2.921875,1.8915798664093018,662000
2000-04-20,2.921875,2.929687976837158,2.8125,2.90625,1.8814640045166016,1133600
2000-04-24,2.835937976837158,2.890625,2.71875,2.75,1.780310869216919,698800
2000-04-25,2.796875,2.9375,2.75,2.9375,1.9016951322555542,586800
2000-04-26,2.90625,2.96875,2.75,2.875,1.8612338304519653,607600
2000-04-27,2.796875,2.890625,2.75,2.875,1.8612338304519653,262400
2000-04-28,2.78125,2.875,2.765625,2.84375,1.8410027027130127,316000
2000-05-01,2.78125,2.9375,2.78125,2.875,1.8612338304519653,462400
2000-05-02,2.875,2.9375,2.8125,2.828125,1.8308876752853394,204000
2000-05-03,2.828125,2.84375,2.65625,2.734375,1.7701942920684814,1486800
2000-05-04,2.703125,2.71875,2.59375,2.6875,1.7398489713668823,614400
2000-05-05,2.71875,2.90625,2.703125,2.90625,1.8814640045166016,477200
2000-05-08,2.90625,2.9375,2.796875,2.84375,1.8410027027130127,428400
2000-05-09,2.890625,2.890625,2.65625,2.734375,1.7701942920684814,616000
2000-05-10,2.75,2.75,2.5625,2.601562976837158,1.684214472770691,659600
2000-05-11,2.6875,2.75,2.640625,2.75,1.780310869216919,294400
2000-05-12,2.765625,2.84375,2.6875,2.703125,1.7499639987945557,415200
2000-05-15,2.75,2.757812976837158,2.609375,2.6875,1.7398489713668823,1328000
2000-05-16,2.6875,2.71875,2.546875,2.625,1.6993869543075562,1671200
2000-05-17,2.59375,2.625,2.5,2.5,1.6184638738632202,743600
2000-05-18,2.53125,2.5625,2.5,2.515625,1.6285793781280518,755600
2000-05-19,2.523437976837158,2.546875,2.484375,2.5,1.6184638738632202,1421600
2000-05-22,2.515625,2.515625,2.0625,2.3125,1.4970790147781372,5824800
2000-05-23,2.34375,2.609375,2.328125,2.453125,1.5881181955337524,1188000
2000-05-24,2.484375,2.59375,2.453125,2.5625,1.6589256525039673,1184000
2000-05-25,2.5625,2.625,2.46875,2.46875,1.5982332229614258,7024800
2000-05-26,2.484375,2.5625,2.4375,2.5,1.6184638738632202,2152800
2000-05-30,2.546875,2.5625,2.46875,2.515625,1.6285793781280518,783600
2000-05-31,2.53125,2.5625,2.328125,2.328125,1.5071945190429688,1330800
2000-06-01,2.390625,2.5,2.390625,2.5,1.6184638738632202,269200
2000-06-02,2.53125,2.578125,2.484375,2.5,1.6184638738632202,783200
2000-06-05,2.5,2.515625,2.4375,2.4375,1.5780025720596313,352000
2000-06-06,2.460937976837158,2.46875,2.34375,2.363281011581421,1.5299543142318726,930400
2000-06-07,2.40625,2.4375,2.265625,2.382812976837158,1.5425986051559448,922400
2000-06-08,2.464843988418579,2.5,2.25,2.28125,1.4768482446670532,2311600
2000-06-09,2.359375,2.367187976837158,2.21875,2.28125,1.4768482446670532,2624000
2000-06-12,2.3125,2.34375,2.203125,2.234375,1.446502447128296,2049200
2000-06-13,2.25,2.40625,2.21875,2.40625,1.557772159576416,1435200
2000-06-14,2.359375,2.46875,2.351562976837158,2.421875,1.5678869485855103,302400
2000-06-15,2.40625,2.484375,2.398437976837158,2.4375,1.5780025720596313,373200
2000-06-16,2.46875,2.484375,2.359375,2.390625,1.547655701637268,643600
2000-06-19,2.40625,2.40625,2.28125,2.40625,1.557772159576416,420000
2000-06-20,2.34375,2.433593988418579,2.265625,2.390625,1.547655701637268,549200
2000-06-21,2.34375,2.375,2.25,2.265625,1.4667328596115112,339200
2000-06-22,2.3125,2.375,2.265625,2.265625,1.4667328596115112,352000
2000-06-23,2.296875,2.375,2.265625,2.328125,1.5071945190429688,210800
2000-06-26,2.257812976837158,2.3125,2.234375,2.296875,1.4869636297225952,337600
2000-06-27,2.296875,2.300781011581421,2.234375,2.234375,1.446502447128296,453200
2000-06-28,2.253906011581421,2.296875,2.25,2.296875,1.4869636297225952,877200
2000-06-29,2.28125,2.296875,2.234375,2.234375,1.446502447128296,255600
2000-06-30,2.257812976837158,2.28125,2.25,2.265625,1.4667328596115112,472400
2000-07-03,2.25,2.273437976837158,2.25,2.273437976837158,1.4717907905578613,130000
2000-07-05,2.265625,2.375,2.25,2.28125,1.4768482446670532,194800
2000-07-06,2.265625,2.328125,2.25,2.28125,1.4768482446670532,343200
2000-07-07,2.28125,2.28125,2.203125,2.203125,1.426271677017212,237600
2000-07-10,2.21875,2.28125,2.21875,2.257812976837158,1.461675763130188,346800
2000-07-11,2.257812976837158,2.3125,2.25,2.273437976837158,1.4717907905578613,706000
2000-07-12,2.296875,2.453125,2.265625,2.40625,1.557772159576416,433600
2000-07-13,2.390625,2.46875,2.390625,2.4375,1.5780025720596313,354000
