Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.125,27.1875,25.625,25.8125,10.460578918457031,571300
2000-01-04,25.8125,25.875,24.75,25.0625,10.156639099121094,766700
2000-01-05,25.125,25.6875,24.9375,25.375,10.283287048339844,620200
2000-01-06,25.4375,26.6875,25.3125,26.5625,10.764522552490234,691500
2000-01-07,27.25,27.25,26.4375,26.75,10.84050464630127,579500
2000-01-10,26.875,27.0,25.6875,26.0625,10.561895370483398,477600
2000-01-11,25.8125,25.9375,25.25,25.375,10.283287048339844,319700
2000-01-12,25.5,26.375,25.4375,26.0,10.620277404785156,515300
2000-01-13,26.5625,28.625,26.5625,28.125,11.48827075958252,1989500
2000-01-14,28.25,29.25,28.25,29.1875,11.922273635864258,1026700
2000-01-18,29.0,29.0,27.6875,27.875,11.386157989501953,1078700
2000-01-19,28.375,28.5,27.3125,27.5,11.232979774475098,573600
2000-01-20,27.5,27.625,26.375,26.5,10.824509620666504,431300
2000-01-21,27.1875,27.1875,26.4375,26.75,10.926629066467285,502800
2000-01-24,26.75,26.75,25.75,26.0,10.620277404785156,407500
2000-01-25,25.875,26.4375,25.625,26.0,10.620277404785156,456600
2000-01-26,26.0625,27.625,25.9375,27.625,11.284039497375488,695100
2000-01-27,28.5,28.6875,27.625,28.0,11.437215805053711,667200
2000-01-28,27.75,27.75,26.875,27.625,11.284039497375488,684300
2000-01-31,27.375,28.125,27.0,28.125,11.48827075958252,831700
2000-02-01,28.125,28.75,27.625,28.5,11.641453742980957,635100
2000-02-02,29.125,29.125,28.0,28.1875,11.513802528381348,614000
2000-02-03,28.125,28.625,27.8125,28.5,11.641453742980957,819600
2000-02-04,28.4375,28.4375,27.375,27.5,11.232979774475098,394100
2000-02-07,25.0625,26.25,25.0625,26.25,10.722395896911621,2087800
2000-02-08,26.1875,26.375,25.9375,26.0625,10.645806312561035,970000
2000-02-09,26.1875,26.1875,25.6875,25.9375,10.594744682312012,1075600
2000-02-10,25.75,25.9375,25.0,25.25,10.313922882080078,376800
2000-02-11,25.25,25.875,25.0,25.375,10.364978790283203,603600
2000-02-14,25.4375,25.5,24.6875,25.0,10.211807250976562,680400
2000-02-15,25.0,25.875,24.8125,25.75,10.518150329589844,779500
2000-02-16,25.625,25.75,24.9375,25.0,10.211807250976562,491500
2000-02-17,25.0,25.125,23.6875,24.0625,9.828859329223633,642800
2000-02-18,24.125,24.25,23.375,23.5625,9.624622344970703,655500
2000-02-22,23.75,24.125,23.375,23.9375,9.777795791625977,422700
2000-02-23,23.9375,23.9375,23.0625,23.0625,9.420390129089355,430000
2000-02-24,23.1875,23.375,22.0625,22.625,9.241679191589355,794900
2000-02-25,23.125,23.25,22.5,22.6875,9.267207145690918,505000
2000-02-28,22.8125,23.625,22.6875,23.3125,9.522502899169922,509100
2000-02-29,23.0625,23.5,22.5625,23.5,9.59909439086914,574800
2000-03-01,23.4375,23.5,22.625,23.125,9.44591999053955,432100
2000-03-02,22.9375,23.0,22.375,23.0,9.394856452941895,549600
2000-03-03,22.5,23.5625,22.5,23.375,9.548038482666016,564500
2000-03-06,23.25,23.25,22.1875,22.625,9.241679191589355,471200
2000-03-07,22.75,22.75,22.0,22.0,8.986384391784668,491700
2000-03-08,21.75,22.3125,21.6875,22.125,9.037443161010742,455000
2000-03-09,22.125,22.9375,22.0,22.9375,9.369332313537598,519400
2000-03-10,22.9375,22.9375,22.3125,22.5625,9.216144561767578,470100
2000-03-13,22.0,22.875,22.0,22.875,9.34380054473877,460300
2000-03-14,22.625,22.625,21.6875,22.375,9.139558792114258,457300
2000-03-15,22.125,25.0,21.9375,24.8125,10.135211944580078,1193500
2000-03-16,24.75,27.3125,24.4375,27.3125,11.156394004821777,1192300
2000-03-17,27.5625,27.5625,25.8125,26.75,10.926629066467285,1020300
2000-03-20,26.5625,26.6875,25.0,26.125,10.67133617401123,1024800
2000-03-21,26.0,27.625,26.0,27.625,11.284039497375488,1026300
2000-03-22,27.5,27.875,27.125,27.75,11.335102081298828,441800
2000-03-23,27.5,28.625,27.1875,28.625,11.692513465881348,612000
2000-03-24,28.25,28.8125,27.625,28.375,11.590399742126465,661500
2000-03-27,27.875,27.9375,27.0,27.5,11.232979774475098,394400
2000-03-28,27.375,28.0,27.1875,27.5625,11.25851058959961,397600
2000-03-29,28.75,28.75,27.6875,28.1875,11.513802528381348,461700
2000-03-30,27.6875,27.9375,27.125,27.3125,11.156394004821777,393200
2000-03-31,26.75,28.0625,26.6875,28.0625,11.462745666503906,598600
2000-04-03,27.875,29.375,27.875,29.3125,11.973332405090332,561500
2000-04-04,29.625,30.0,28.5,29.6875,12.126518249511719,1073400
2000-04-05,29.375,29.625,28.8125,28.9375,11.820158958435059,341900
2000-04-06,29.5,29.5,28.125,28.75,11.743574142456055,293800
2000-04-07,28.375,28.5625,27.875,27.875,11.386157989501953,296300
2000-04-10,27.75,28.375,27.125,28.1875,11.513802528381348,389700
2000-04-11,28.4375,28.4375,27.75,28.0,11.437215805053711,333800
2000-04-12,28.0,29.875,28.0,28.6875,11.80234146118164,643200
2000-04-13,27.75,28.5,27.75,27.9375,11.493782997131348,371300
2000-04-14,27.375,27.4375,25.75,26.0625,10.722394943237305,679000
2000-04-17,25.9375,26.75,25.875,26.625,10.953807830810547,590600
2000-04-18,26.125,26.9375,26.0,26.875,11.056662559509277,427400
2000-04-19,27.125,27.125,25.8125,26.25,10.799529075622559,283400
2000-04-20,26.375,26.6875,25.75,26.4375,10.876670837402344,659400
2000-04-24,26.4375,27.4375,26.0625,26.9375,11.082381248474121,325100
2000-04-25,26.6875,28.375,26.6875,28.0625,11.545208930969238,530400
2000-04-26,28.375,28.375,27.1875,27.1875,11.185229301452637,524300
2000-04-27,26.6875,26.875,26.0,26.25,10.799529075622559,423600
2000-04-28,26.625,26.75,26.0,26.625,10.953807830810547,1025500
