Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.375,16.375,16.0,16.0625,11.05341911315918,235200
2000-01-04,16.0,16.125,15.9375,16.0,11.01041030883789,188600
2000-01-05,16.0,16.3125,16.0,16.0625,11.05341911315918,168900
2000-01-06,16.1875,16.3125,16.0,16.1875,11.139442443847656,177700
2000-01-07,16.3125,16.9375,16.3125,16.9375,11.655550956726074,170300
2000-01-10,16.9375,16.9375,16.6875,16.75,11.526518821716309,204000
2000-01-11,16.5,16.9375,16.5,16.875,11.61253833770752,182200
2000-01-12,16.8125,16.9375,16.5,16.5625,11.39749526977539,90500
2000-01-13,17.375,17.375,17.0,17.1875,11.827584266662598,602200
2000-01-14,17.1875,17.1875,16.125,16.3125,11.225452423095703,227500
2000-01-18,16.3125,16.375,15.9375,16.0,11.01041030883789,228600
2000-01-19,16.0,16.0625,15.75,15.75,10.838371276855469,199800
2000-01-20,15.875,15.9375,15.625,15.625,10.752351760864258,215600
2000-01-21,15.6875,15.6875,15.375,15.4375,10.623326301574707,152800
2000-01-24,15.375,15.5,14.8125,14.8125,10.193227767944336,293500
2000-01-25,14.875,14.875,13.625,14.25,9.806144714355469,723800
2000-01-26,14.25,14.5625,13.875,14.0,9.63410758972168,262000
2000-01-27,14.0,14.25,13.8125,14.1875,9.763136863708496,239100
2000-01-28,14.25,14.3125,13.875,14.25,9.806144714355469,251700
2000-01-31,14.375,14.375,13.5625,13.6875,9.419057846069336,506400
2000-02-01,13.6875,14.0,13.6875,13.875,9.54808521270752,348800
2000-02-02,14.0,14.125,13.5,13.5625,9.333036422729492,717300
2000-02-03,13.625,13.75,13.125,13.25,9.117990493774414,486700
2000-02-04,13.125,13.25,12.9375,13.0,8.945959091186523,442700
2000-02-07,13.0,13.0,12.5625,12.875,8.859939575195312,217400
2000-02-08,12.875,12.875,12.5625,12.8125,8.816929817199707,539500
2000-02-09,12.875,12.9375,12.4375,12.5,8.601880073547363,280900
2000-02-10,12.375,12.5625,11.75,11.9375,8.214797019958496,414400
2000-02-11,11.9375,12.0,11.0,11.25,7.741692543029785,826500
2000-02-14,11.25,11.4375,10.75,11.0,7.5696563720703125,605600
2000-02-15,11.0,11.125,10.75,10.8125,7.440625190734863,714100
2000-02-16,10.9375,11.0,10.75,10.875,7.483636856079102,423500
2000-02-17,10.9375,11.0625,10.625,10.75,7.397615909576416,518300
2000-02-18,10.75,10.8125,10.5625,10.6875,7.354607582092285,353300
2000-02-22,10.8125,10.9375,10.5,10.625,7.311600685119629,443700
2000-02-23,10.625,10.625,9.8125,9.9375,6.838494300842285,455300
2000-02-24,10.0,10.0625,9.75,9.9375,6.838494300842285,769400
2000-02-25,10.125,11.5625,10.125,10.9375,7.526648044586182,720700
2000-02-28,11.625,11.75,10.75,10.875,7.511110305786133,394900
2000-02-29,10.875,11.25,10.3125,10.3125,7.1226043701171875,688900
2000-03-01,10.4375,11.0,10.25,10.5625,7.295268535614014,377800
2000-03-02,10.625,10.8125,10.3125,10.4375,7.208935737609863,395000
2000-03-03,10.5625,10.75,10.1875,10.4375,7.208935737609863,321000
2000-03-06,10.4375,10.625,10.0625,10.0625,6.949929714202881,361700
2000-03-07,10.0625,10.3125,9.75,9.875,6.820429801940918,443200
2000-03-08,9.9375,10.1875,9.875,10.0,6.906767845153809,665400
2000-03-09,10.125,10.625,10.0,10.125,6.993101119995117,532400
2000-03-10,10.0,10.125,9.125,9.375,6.475090503692627,837900
2000-03-13,9.5,9.875,9.3125,9.375,6.475090503692627,304400
2000-03-14,9.5625,9.75,9.25,9.3125,6.431923866271973,421300
2000-03-15,9.0,9.0,8.5,9.0,6.216089248657227,1607400
2000-03-16,9.0,10.5,8.875,10.125,6.993101119995117,970200
2000-03-17,9.875,10.375,9.75,9.75,6.734095096588135,657400
2000-03-20,10.0,10.5,9.875,10.0625,6.949929714202881,436500
2000-03-21,10.1875,10.5,10.0,10.4375,7.208935737609863,424100
2000-03-22,10.5,10.5625,10.375,10.5,7.252104759216309,578700
2000-03-23,10.75,11.0,10.5625,10.875,7.511110305786133,459900
2000-03-24,10.875,10.875,10.4375,10.625,7.338437557220459,799700
2000-03-27,10.625,10.75,10.0,10.125,6.993101119995117,409200
2000-03-28,10.0,10.4375,10.0,10.25,7.079433917999268,468100
2000-03-29,10.25,10.375,9.9375,10.125,6.993101119995117,339700
2000-03-30,10.125,11.125,10.125,10.6875,7.381601810455322,560900
2000-03-31,10.8125,11.125,10.3125,11.125,7.683773517608643,1130400
2000-04-03,11.125,11.1875,10.125,10.25,7.079433917999268,485300
2000-04-04,10.375,10.75,10.375,10.75,7.424771308898926,291100
2000-04-05,10.875,11.125,10.5625,11.125,7.683773517608643,372700
2000-04-06,11.0,11.0,10.25,10.375,7.165765762329102,469600
2000-04-07,10.125,10.375,10.0625,10.125,6.993101119995117,304900
2000-04-10,10.5,10.5,10.125,10.1875,7.036267280578613,192000
2000-04-11,10.3125,10.375,10.0625,10.375,7.165765762329102,170700
2000-04-12,10.4375,10.5625,10.0,10.0625,6.949929714202881,203800
2000-04-13,10.1875,10.875,10.125,10.8125,7.467938423156738,483400
2000-04-14,10.8125,10.8125,10.125,10.125,6.993101119995117,253600
2000-04-17,10.1875,10.5,10.0,10.4375,7.208935737609863,325100
2000-04-18,10.3125,10.375,10.125,10.375,7.165765762329102,165300
2000-04-19,10.4375,10.4375,10.125,10.3125,7.1226043701171875,196800
2000-04-20,10.1875,10.5625,10.1875,10.4375,7.208935737609863,146200
2000-04-24,10.5625,10.625,10.25,10.4375,7.208935737609863,257100
2000-04-25,10.5,11.125,10.5,11.0,7.597436428070068,355300
2000-04-26,11.0,11.25,11.0,11.0,7.597436428070068,459400
2000-04-27,11.0,11.375,10.9375,11.0,7.597436428070068,961900
2000-04-28,11.0625,11.0625,10.4375,10.4375,7.208935737609863,384800
2000-05-01,10.5625,10.9375,10.4375,10.4375,7.208935737609863,194400
2000-05-02,10.5,10.6875,10.3125,10.375,7.165765762329102,138200
2000-05-03,10.375,10.75,10.25,10.25,7.079433917999268,370800
2000-05-04,10.5625,10.875,10.4375,10.75,7.424771308898926,438900
2000-05-05,10.75,10.75,10.0,10.375,7.165765762329102,343800
2000-05-08,10.4375,10.4375,10.0,10.1875,7.036267280578613,172500
2000-05-09,10.125,10.3125,9.8125,10.1875,7.036267280578613,465700
2000-05-10,10.0625,10.5,9.9375,10.375,7.165765762329102,256100
2000-05-11,10.5,10.8125,10.3125,10.625,7.338437557220459,601400
2000-05-12,10.625,10.75,10.25,10.5,7.252104759216309,197500
2000-05-15,10.5625,10.625,10.1875,10.1875,7.036267280578613,287600
2000-05-16,10.3125,10.5,10.1875,10.5,7.252104759216309,159100
2000-05-17,10.4375,10.5,10.1875,10.4375,7.208935737609863,180400
2000-05-18,10.4375,10.625,10.25,10.4375,7.208935737609863,185200
2000-05-19,10.4375,10.5625,10.0625,10.0625,6.949929714202881,270700
2000-05-22,10.1875,10.3125,10.0,10.125,6.993101119995117,321800
2000-05-23,10.125,10.375,9.875,10.0625,6.949929714202881,232100
2000-05-24,10.125,10.1875,9.875,9.875,6.820429801940918,370700
2000-05-25,9.875,10.375,9.875,10.0625,6.949929714202881,455300
2000-05-26,10.125,10.1875,9.875,9.875,6.820429801940918,433800
2000-05-30,9.9375,10.0625,9.9375,10.0625,6.978196144104004,157500
2000-05-31,10.0625,10.25,9.875,9.875,6.848168849945068,250300
2000-06-01,9.875,10.1875,9.875,10.125,7.021542072296143,262700
2000-06-02,10.1875,10.25,10.0625,10.1875,7.064886093139648,178400
2000-06-05,10.125,10.4375,10.0,10.375,7.194908618927002,306400
2000-06-06,10.375,10.4375,10.125,10.1875,7.064886093139648,320100
2000-06-07,10.0625,10.125,9.875,10.125,7.021542072296143,246700
2000-06-08,10.125,10.125,9.9375,10.0,6.934859752655029,675200
2000-06-09,10.0,10.0,9.875,10.0,6.934859752655029,180100
2000-06-12,10.0,10.0,9.75,9.8125,6.80482292175293,161800
2000-06-13,9.75,9.8125,9.6875,9.75,6.761484146118164,158300
2000-06-14,9.8125,9.8125,9.5625,9.625,6.6747965812683105,117900
2000-06-15,9.625,9.9375,9.625,9.875,6.848168849945068,237200
2000-06-16,9.75,9.875,9.6875,9.8125,6.80482292175293,316600
2000-06-19,9.8125,9.875,9.625,9.625,6.6747965812683105,176700
2000-06-20,9.625,9.6875,9.5,9.5625,6.631453990936279,226300
2000-06-21,9.125,9.1875,8.875,9.0625,6.28471040725708,790800
2000-06-22,9.1875,9.25,8.9375,8.9375,6.19802713394165,360900
2000-06-23,9.0,9.0,8.75,8.875,6.154682159423828,253700
2000-06-26,9.0,9.125,8.875,8.9375,6.19802713394165,162800
2000-06-27,9.0,9.0625,8.5625,8.5625,5.93796443939209,260500
