Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.78125,8.78125,8.34375,8.59375,7.88837194442749,181400
2000-01-04,8.5,8.5,8.3125,8.46875,7.7736358642578125,193400
2000-01-05,8.375,8.4375,8.25,8.4375,7.74495267868042,304800
2000-01-06,8.40625,8.40625,7.9375,8.09375,7.429415702819824,199000
2000-01-07,8.09375,8.09375,7.75,7.78125,7.142566204071045,231400
2000-01-10,7.9375,8.0,7.625,7.875,7.2286200523376465,337000
2000-01-11,7.8125,7.8125,7.53125,7.65625,7.027824401855469,318000
2000-01-12,7.65625,7.65625,7.1875,7.25,6.654921531677246,219600
2000-01-13,7.3125,7.34375,7.25,7.3125,6.7122931480407715,95600
2000-01-14,7.4375,7.4375,6.75,6.90625,6.339385986328125,755000
2000-01-18,6.84375,6.875,6.6875,6.875,6.310700416564941,431800
2000-01-19,6.875,7.09375,6.875,7.0,6.425440311431885,261800
2000-01-20,7.03125,7.28125,6.9375,7.0,6.425440311431885,525800
2000-01-21,6.90625,7.0,6.875,6.90625,6.339385986328125,767600
2000-01-24,6.9375,7.0,6.75,6.78125,6.224646091461182,258200
2000-01-25,6.6875,6.6875,6.0625,6.21875,5.708315849304199,654000
2000-01-26,6.1875,6.1875,5.78125,5.875,5.392782211303711,521200
2000-01-27,5.875,5.96875,5.78125,5.78125,5.306725025177002,272400
2000-01-28,5.78125,5.8125,5.625,5.65625,5.1919846534729,98400
2000-01-31,5.59375,5.6875,5.53125,5.5625,5.105928421020508,303400
2000-02-01,5.625,5.65625,5.4375,5.5625,5.105928421020508,290200
2000-02-02,5.65625,5.78125,5.625,5.71875,5.249355316162109,182600
2000-02-03,5.71875,5.8125,5.71875,5.75,5.278040885925293,196200
2000-02-04,5.78125,5.84375,5.75,5.78125,5.306725025177002,411400
2000-02-07,5.8125,6.0625,5.75,5.875,5.392782211303711,123000
2000-02-08,6.03125,6.03125,5.78125,5.8125,5.335410118103027,170800
2000-02-09,5.875,6.09375,5.75,5.9375,5.4501495361328125,276200
2000-02-10,6.0,6.375,5.9375,6.3125,5.794371128082275,130400
2000-02-11,6.25,6.53125,6.09375,6.4375,5.913796901702881,138400
2000-02-14,6.4375,6.4375,6.0625,6.21875,5.71284294128418,194000
